r,rr,l,f,y,Trade
"REGION1","REGION1","SEA1D","INDDSL",2020,0
"REGION1","REGION1","SEA1D","INDDSL",2021,0
"REGION1","REGION1","SEA1D","INDDSL",2022,0
"REGION1","REGION1","SEA1D","INDDSL",2023,0
"REGION1","REGION1","SEA1D","INDDSL",2024,0
"REGION1","REGION1","SEA1D","INDDSL",2025,0
"REGION1","REGION1","SEA1D","INDDSL",2026,0
"REGION1","REGION1","SEA1D","INDDSL",2027,0
"REGION1","REGION1","SEA1D","INDDSL",2028,0
"REGION1","REGION1","SEA1D","INDDSL",2029,0
"REGION1","REGION1","SEA1D","INDDSL",2030,0
"REGION1","REGION1","SEA1D","INDDSL",2031,0
"REGION1","REGION1","SEA1D","INDDSL",2032,0
"REGION1","REGION1","SEA1D","INDDSL",2033,0
"REGION1","REGION1","SEA1D","INDDSL",2034,0
"REGION1","REGION1","SEA1D","INDDSL",2035,0
"REGION1","REGION1","SEA1D","INDDSL",2036,0
"REGION1","REGION1","SEA1D","INDDSL",2037,0
"REGION1","REGION1","SEA1D","INDDSL",2038,0
"REGION1","REGION1","SEA1D","INDDSL",2039,0
"REGION1","REGION1","SEA1D","INDDSL",2040,0
"REGION1","REGION1","SEA1D","INDDSL",2041,0
"REGION1","REGION1","SEA1D","INDDSL",2042,0
"REGION1","REGION1","SEA1D","INDDSL",2043,0
"REGION1","REGION1","SEA1D","INDDSL",2044,0
"REGION1","REGION1","SEA1D","INDDSL",2045,0
"REGION1","REGION1","SEA1D","INDDSL",2046,0
"REGION1","REGION1","SEA1D","INDDSL",2047,0
"REGION1","REGION1","SEA1D","INDDSL",2048,0
"REGION1","REGION1","SEA1D","INDDSL",2049,0
"REGION1","REGION1","SEA1D","INDDSL",2050,0
"REGION1","REGION1","SEA1D","DSL",2020,0
"REGION1","REGION1","SEA1D","DSL",2021,0
"REGION1","REGION1","SEA1D","DSL",2022,0
"REGION1","REGION1","SEA1D","DSL",2023,0
"REGION1","REGION1","SEA1D","DSL",2024,0
"REGION1","REGION1","SEA1D","DSL",2025,0
"REGION1","REGION1","SEA1D","DSL",2026,0
"REGION1","REGION1","SEA1D","DSL",2027,0
