r,l,t,m,y,RateOfActivity
"REGION1","SEA1D","DEMINDDSL",1,2020,109.555555555556
"REGION1","SEA1D","DEMINDDSL",1,2021,109.222222222222
"REGION1","SEA1D","DEMINDDSL",1,2022,108.464646464646
"REGION1","SEA1D","DEMINDDSL",1,2023,108.030303030303
"REGION1","SEA1D","DEMINDDSL",1,2024,108.414141414141
"REGION1","SEA1D","DEMINDDSL",1,2025,109.242424242424
"REGION1","SEA1D","DEMINDDSL",1,2026,110.555555555556
"REGION1","SEA1D","DEMINDDSL",1,2027,111.747474747475
"REGION1","SEA1D","DEMINDDSL",1,2028,112.393939393939
"REGION1","SEA1D","DEMINDDSL",1,2029,112.414141414141
"REGION1","SEA1D","DEMINDDSL",1,2030,112.50505050505
"REGION1","SEA1D","DEMINDDSL",1,2031,112.777777777778
"REGION1","SEA1D","DEMINDDSL",1,2032,113.252525252525
"REGION1","SEA1D","DEMINDDSL",1,2033,113.383838383838
"REGION1","SEA1D","DEMINDDSL",1,2034,113.444444444444
"REGION1","SEA1D","DEMINDDSL",1,2035,113.575757575758
"REGION1","SEA1D","DEMINDDSL",1,2036,113.79797979798
"REGION1","SEA1D","DEMINDDSL",1,2037,114.161616161616
"REGION1","SEA1D","DEMINDDSL",1,2038,114.676767676768
"REGION1","SEA1D","DEMINDDSL",1,2039,115.343434343434
"REGION1","SEA1D","DEMINDDSL",1,2040,116.131313131313
"REGION1","SEA1D","DEMINDDSL",1,2041,115.763636363636
"REGION1","SEA1D","DEMINDDSL",1,2042,116.065656565657
"REGION1","SEA1D","DEMINDDSL",1,2043,116.368686868687
"REGION1","SEA1D","DEMINDDSL",1,2044,116.670707070707
"REGION1","SEA1D","DEMINDDSL",1,2045,116.972727272727
"REGION1","SEA1D","DEMINDDSL",1,2046,117.275757575758
"REGION1","SEA1D","DEMINDDSL",1,2047,117.577777777778
"REGION1","SEA1D","DEMINDDSL",1,2048,117.880808080808
"REGION1","SEA1D","DEMINDDSL",1,2049,118.182828282828
"REGION1","SEA1D","DEMINDDSL",1,2050,118.484848484848
"REGION1","SEA1D","DEMINDBIO",1,2020,161.656565656566
"REGION1","SEA1D","DEMINDBIO",1,2021,162.313131313131
"REGION1","SEA1D","DEMINDBIO",1,2022,162.747474747475
"REGION1","SEA1D","DEMINDBIO",1,2023,163.464646464646
"REGION1","SEA1D","DEMINDBIO",1,2024,164.282828282828
"REGION1","SEA1D","DEMINDBIO",1,2025,163.777777777778
"REGION1","SEA1D","DEMINDBIO",1,2026,163.555555555556
"REGION1","SEA1D","DEMINDBIO",1,2027,163.454545454545
"REGION1","SEA1D","DEMINDBIO",1,2028,163.313131313131
"REGION1","SEA1D","DEMINDBIO",1,2029,162.707070707071
"REGION1","SEA1D","DEMINDBIO",1,2030,161.929292929293
"REGION1","SEA1D","DEMINDBIO",1,2031,160.929292929293
"REGION1","SEA1D","DEMINDBIO",1,2032,159.777777777778
"REGION1","SEA1D","DEMINDBIO",1,2033,158.484848484848
"REGION1","SEA1D","DEMINDBIO",1,2034,156.959595959596
"REGION1","SEA1D","DEMINDBIO",1,2035,155.656565656566
"REGION1","SEA1D","DEMINDBIO",1,2036,154.323232323232
"REGION1","SEA1D","DEMINDBIO",1,2037,153
"REGION1","SEA1D","DEMINDBIO",1,2038,151.727272727273
"REGION1","SEA1D","DEMINDBIO",1,2039,150.525252525253
"REGION1","SEA1D","DEMINDBIO",1,2040,149.363636363636
"REGION1","SEA1D","DEMINDBIO",1,2041,148.860606060606
"REGION1","SEA1D","DEMINDBIO",1,2042,147.754545454545
"REGION1","SEA1D","DEMINDBIO",1,2043,146.647474747475
"REGION1","SEA1D","DEMINDBIO",1,2044,145.540404040404
"REGION1","SEA1D","DEMINDBIO",1,2045,144.434343434343
"REGION1","SEA1D","DEMINDBIO",1,2046,143.327272727273
"REGION1","SEA1D","DEMINDBIO",1,2047,142.221212121212
"REGION1","SEA1D","DEMINDBIO",1,2048,141.114141414141
"REGION1","SEA1D","DEMINDBIO",1,2049,140.008080808081
"REGION1","SEA1D","DEMINDBIO",1,2050,138.90101010101
"REGION1","SEA1D","DEMINDNGS",1,2020,227.131313131313
"REGION1","SEA1D","DEMINDNGS",1,2021,221.535353535354
"REGION1","SEA1D","DEMINDNGS",1,2022,216.080808080808
"REGION1","SEA1D","DEMINDNGS",1,2023,213.767676767677
"REGION1","SEA1D","DEMINDNGS",1,2024,223.575757575758
"REGION1","SEA1D","DEMINDNGS",1,2025,245.282828282828
"REGION1","SEA1D","DEMINDNGS",1,2026,277.909090909091
"REGION1","SEA1D","DEMINDNGS",1,2027,286.030303030303
"REGION1","SEA1D","DEMINDNGS",1,2028,287.484848484848
"REGION1","SEA1D","DEMINDNGS",1,2029,289.454545454545
"REGION1","SEA1D","DEMINDNGS",1,2030,307.777777777778
"REGION1","SEA1D","DEMINDNGS",1,2031,333.79797979798
"REGION1","SEA1D","DEMINDNGS",1,2032,350.030303030303
"REGION1","SEA1D","DEMINDNGS",1,2033,348.818181818182
"REGION1","SEA1D","DEMINDNGS",1,2034,347.929292929293
"REGION1","SEA1D","DEMINDNGS",1,2035,348.090909090909
"REGION1","SEA1D","DEMINDNGS",1,2036,348.070707070707
"REGION1","SEA1D","DEMINDNGS",1,2037,347.717171717172
"REGION1","SEA1D","DEMINDNGS",1,2038,347.707070707071
"REGION1","SEA1D","DEMINDNGS",1,2039,347.969696969697
"REGION1","SEA1D","DEMINDNGS",1,2040,348.30303030303
"REGION1","SEA1D","DEMINDNGS",1,2041,371.974747474747
"REGION1","SEA1D","DEMINDNGS",1,2042,377.49595959596
"REGION1","SEA1D","DEMINDNGS",1,2043,383.017171717172
"REGION1","SEA1D","DEMINDNGS",1,2044,388.538383838384
"REGION1","SEA1D","DEMINDNGS",1,2045,394.059595959596
"REGION1","SEA1D","DEMINDNGS",1,2046,399.580808080808
"REGION1","SEA1D","DEMINDNGS",1,2047,405.10202020202
"REGION1","SEA1D","DEMINDNGS",1,2048,410.623232323232
"REGION1","SEA1D","DEMINDNGS",1,2049,416.144444444445
"REGION1","SEA1D","DEMINDNGS",1,2050,421.665656565657
"REGION1","SEA1D","DEMINDELCB02",1,2020,101.14
"REGION1","SEA1D","DEMINDELCB02",1,2021,101.4
"REGION1","SEA1D","DEMINDELCB02",1,2022,101.77
"REGION1","SEA1D","DEMINDELCB02",1,2023,102.35
"REGION1","SEA1D","DEMINDELCB02",1,2024,104.08
"REGION1","SEA1D","DEMINDELCB02",1,2025,106.19
"REGION1","SEA1D","DEMINDELCB02",1,2026,109.61
"REGION1","SEA1D","DEMINDELCB02",1,2027,109.57
"REGION1","SEA1D","DEMINDELCB02",1,2028,109.11
"REGION1","SEA1D","DEMINDELCB02",1,2029,108.5
"REGION1","SEA1D","DEMINDELCB02",1,2030,109.62
"REGION1","SEA1D","DEMINDELCB02",1,2031,111.38
"REGION1","SEA1D","DEMINDELCB02",1,2032,112.96
"REGION1","SEA1D","DEMINDELCB02",1,2033,112.41
"REGION1","SEA1D","DEMINDELCB02",1,2034,111.31
"REGION1","SEA1D","DEMINDELCB02",1,2035,110.38
"REGION1","SEA1D","DEMINDELCB02",1,2036,109.55
"REGION1","SEA1D","DEMINDELCB02",1,2037,108.83
"REGION1","SEA1D","DEMINDELCB02",1,2038,108.34
"REGION1","SEA1D","DEMINDELCB02",1,2039,107.86
"REGION1","SEA1D","DEMINDELCB02",1,2040,107.38
"REGION1","SEA1D","DEMINDELCB02",1,2041,107.38
"REGION1","SEA1D","DEMINDELCB02",1,2042,106.943
"REGION1","SEA1D","DEMINDELCB02",1,2043,106.507
"REGION1","SEA1D","DEMINDELCB02",1,2044,106.07
"REGION1","SEA1D","DEMINDELCB02",1,2045,105.633
"REGION1","SEA1D","DEMINDELCB02",1,2046,105.196
"REGION1","SEA1D","DEMINDELCB02",1,2047,104.759
"REGION1","SEA1D","DEMINDELCB02",1,2048,104.322
"REGION1","SEA1D","DEMINDELCB02",1,2049,103.885
"REGION1","SEA1D","DEMINDELCB02",1,2050,103.448
"REGION1","SEA1D","DEMRESKER",1,2020,0.848484848484849
"REGION1","SEA1D","DEMRESKER",1,2021,0.858585858585858
"REGION1","SEA1D","DEMRESKER",1,2022,0.868686868686869
"REGION1","SEA1D","DEMRESKER",1,2023,0.87878787878788
"REGION1","SEA1D","DEMRESKER",1,2024,0.878787878787879
"REGION1","SEA1D","DEMRESKER",1,2025,0.878787878787879
"REGION1","SEA1D","DEMRESKER",1,2026,0.888888888888889
"REGION1","SEA1D","DEMRESKER",1,2027,0.888888888888889
"REGION1","SEA1D","DEMRESKER",1,2028,0.888888888888889
"REGION1","SEA1D","DEMRESKER",1,2029,0.888888888888889
"REGION1","SEA1D","DEMRESKER",1,2030,0.888888888888889
"REGION1","SEA1D","DEMRESKER",1,2031,0.888888888888889
"REGION1","SEA1D","DEMRESKER",1,2032,0.88888888888889
"REGION1","SEA1D","DEMRESKER",1,2033,0.888888888888888
"REGION1","SEA1D","DEMRESKER",1,2034,0.888888888888889
"REGION1","SEA1D","DEMRESKER",1,2035,0.888888888888889
"REGION1","SEA1D","DEMRESKER",1,2036,0.888888888888889
"REGION1","SEA1D","DEMRESKER",1,2037,0.878787878787879
"REGION1","SEA1D","DEMRESKER",1,2038,0.878787878787879
"REGION1","SEA1D","DEMRESKER",1,2039,0.878787878787879
"REGION1","SEA1D","DEMRESKER",1,2040,0.868686868686869
"REGION1","SEA1D","DEMRESKER",1,2041,0
"REGION1","SEA1D","DEMRESKER",1,2042,0
"REGION1","SEA1D","DEMRESKER",1,2043,0
"REGION1","SEA1D","DEMRESKER",1,2044,0
"REGION1","SEA1D","DEMRESKER",1,2045,0
"REGION1","SEA1D","DEMRESKER",1,2046,0
"REGION1","SEA1D","DEMRESKER",1,2047,0
"REGION1","SEA1D","DEMRESKER",1,2048,0
"REGION1","SEA1D","DEMRESKER",1,2049,0
"REGION1","SEA1D","DEMRESKER",1,2050,0
"REGION1","SEA1D","DEMRESBIO",1,2020,13.1111111111111
"REGION1","SEA1D","DEMRESBIO",1,2021,13.3636363636364
"REGION1","SEA1D","DEMRESBIO",1,2022,13.5858585858586
"REGION1","SEA1D","DEMRESBIO",1,2023,13.8585858585859
"REGION1","SEA1D","DEMRESBIO",1,2024,14.1414141414141
"REGION1","SEA1D","DEMRESBIO",1,2025,14.4040404040404
"REGION1","SEA1D","DEMRESBIO",1,2026,14.6565656565657
"REGION1","SEA1D","DEMRESBIO",1,2027,14.8686868686869
"REGION1","SEA1D","DEMRESBIO",1,2028,15.0909090909091
"REGION1","SEA1D","DEMRESBIO",1,2029,15.2929292929293
"REGION1","SEA1D","DEMRESBIO",1,2030,15.4444444444444
"REGION1","SEA1D","DEMRESBIO",1,2031,15.5959595959596
"REGION1","SEA1D","DEMRESBIO",1,2032,15.7474747474747
"REGION1","SEA1D","DEMRESBIO",1,2033,15.8585858585859
"REGION1","SEA1D","DEMRESBIO",1,2034,15.979797979798
"REGION1","SEA1D","DEMRESBIO",1,2035,16.0707070707071
"REGION1","SEA1D","DEMRESBIO",1,2036,16.1212121212121
"REGION1","SEA1D","DEMRESBIO",1,2037,16.1515151515152
"REGION1","SEA1D","DEMRESBIO",1,2038,16.1616161616162
"REGION1","SEA1D","DEMRESBIO",1,2039,16.1414141414141
"REGION1","SEA1D","DEMRESBIO",1,2040,16.1212121212121
"REGION1","SEA1D","DEMRESBIO",1,2041,16.0666666666667
"REGION1","SEA1D","DEMRESBIO",1,2042,16.1515151515151
"REGION1","SEA1D","DEMRESBIO",1,2043,16.2373737373737
"REGION1","SEA1D","DEMRESBIO",1,2044,16.3232323232323
"REGION1","SEA1D","DEMRESBIO",1,2045,16.4080808080808
"REGION1","SEA1D","DEMRESBIO",1,2046,16.4939393939394
"REGION1","SEA1D","DEMRESBIO",1,2047,16.5787878787879
"REGION1","SEA1D","DEMRESBIO",1,2048,16.6646464646465
