,East Kootenay_1
2021-01-01 00:00:00,0.13322734888238522
2021-01-01 01:00:00,0.0
2021-01-01 02:00:00,0.0
2021-01-01 03:00:00,0.0
2021-01-01 04:00:00,0.0
2021-01-01 05:00:00,0.0
2021-01-01 06:00:00,0.0
2021-01-01 07:00:00,0.0
2021-01-01 08:00:00,0.0
2021-01-01 09:00:00,0.0
2021-01-01 10:00:00,0.0
2021-01-01 11:00:00,0.0
2021-01-01 12:00:00,0.0
2021-01-01 13:00:00,0.0
2021-01-01 14:00:00,0.0
2021-01-01 15:00:00,0.0
2021-01-01 16:00:00,0.0
2021-01-01 17:00:00,0.036292212873800425
2021-01-01 18:00:00,0.08430844577564862
2021-01-01 19:00:00,0.14698601977294481
2021-01-01 20:00:00,0.13206330232635735
2021-01-01 21:00:00,0.1477009652370121
2021-01-01 22:00:00,0.13599560043521142
2021-01-01 23:00:00,0.09406220298510988
2021-01-02 00:00:00,0.05625313185970605
2021-01-02 01:00:00,0.0
2021-01-02 02:00:00,0.0
2021-01-02 03:00:00,0.0
2021-01-02 04:00:00,0.0
2021-01-02 05:00:00,0.0
2021-01-02 06:00:00,0.0
2021-01-02 07:00:00,0.0
2021-01-02 08:00:00,0.0
2021-01-02 09:00:00,0.0
2021-01-02 10:00:00,0.0
2021-01-02 11:00:00,0.0
2021-01-02 12:00:00,0.0
2021-01-02 13:00:00,0.0
2021-01-02 14:00:00,0.0
2021-01-02 15:00:00,0.0
2021-01-02 16:00:00,0.0
2021-01-02 17:00:00,0.14120278169308728
2021-01-02 18:00:00,0.23858722098079607
2021-01-02 19:00:00,0.19766433025796465
2021-01-02 20:00:00,0.23012127615219538
2021-01-02 21:00:00,0.20182993009201816
2021-01-02 22:00:00,0.2033103499924112
2021-01-02 23:00:00,0.1323582021575847
2021-01-03 00:00:00,0.07630069895998409
2021-01-03 01:00:00,0.0
2021-01-03 02:00:00,0.0
2021-01-03 03:00:00,0.0
2021-01-03 04:00:00,0.0
2021-01-03 05:00:00,0.0
2021-01-03 06:00:00,0.0
2021-01-03 07:00:00,0.0
2021-01-03 08:00:00,0.0
2021-01-03 09:00:00,0.0
2021-01-03 10:00:00,0.0
2021-01-03 11:00:00,0.0
2021-01-03 12:00:00,0.0
2021-01-03 13:00:00,0.0
2021-01-03 14:00:00,0.0
2021-01-03 15:00:00,0.0
2021-01-03 16:00:00,0.0
