r,l,f,y,Demand
REGION1,SEA1D,AGRELCB02,2026,0.207
REGION1,SEA1D,AGRELCB02,2027,0.414
REGION1,SEA1D,AGRELCB02,2028,0.6195
REGION1,SEA1D,AGRELCB02,2029,0.8265
REGION1,SEA1D,AGRELCB02,2030,1.0335
REGION1,SEA1D,AGRELCB02,2031,1.2405
REGION1,SEA1D,AGRELCB02,2032,1.4475
REGION1,SEA1D,AGRELCB02,2033,1.653
REGION1,SEA1D,AGRELCB02,2034,1.86
REGION1,SEA1D,AGRELCB02,2035,2.067
REGION1,SEA1D,AGRELCB02,2036,2.274
REGION1,SEA1D,AGRELCB02,2037,2.4795
REGION1,SEA1D,AGRELCB02,2038,2.6865
REGION1,SEA1D,AGRELCB02,2039,2.8935
REGION1,SEA1D,AGRELCB02,2040,3.1005
REGION1,SEA1D,AGRELCB02,2041,3.3075
REGION1,SEA1D,AGRELCB02,2042,3.513
REGION1,SEA1D,AGRELCB02,2043,3.72
REGION1,SEA1D,AGRELCB02,2044,3.927
REGION1,SEA1D,AGRELCB02,2045,4.134
REGION1,SEA1D,AGRELCB02,2046,4.341
REGION1,SEA1D,AGRELCB02,2047,4.5465
REGION1,SEA1D,AGRELCB02,2048,4.7535
REGION1,SEA1D,AGRELCB02,2049,4.9605
REGION1,SEA1D,AGRELCB02,2050,5.167
REGION1,SEA1D,COMELCB02,2020,8.55
REGION1,SEA1D,COMELCB02,2021,8.7435
REGION1,SEA1D,COMELCB02,2022,8.904
REGION1,SEA1D,COMELCB02,2023,9.036
REGION1,SEA1D,COMELCB02,2024,9.144
REGION1,SEA1D,COMELCB02,2025,9.2535
REGION1,SEA1D,COMELCB02,2026,9.534
REGION1,SEA1D,COMELCB02,2027,9.8145
REGION1,SEA1D,COMELCB02,2028,10.0965
REGION1,SEA1D,COMELCB02,2029,10.377
REGION1,SEA1D,COMELCB02,2030,10.6575
REGION1,SEA1D,COMELCB02,2031,10.938
REGION1,SEA1D,COMELCB02,2032,11.2185
REGION1,SEA1D,COMELCB02,2033,11.499
REGION1,SEA1D,COMELCB02,2034,11.781
REGION1,SEA1D,COMELCB02,2035,12.0615
REGION1,SEA1D,COMELCB02,2036,12.342
REGION1,SEA1D,COMELCB02,2037,12.6225
REGION1,SEA1D,COMELCB02,2038,12.903
REGION1,SEA1D,COMELCB02,2039,13.1835
REGION1,SEA1D,COMELCB02,2040,13.4655
REGION1,SEA1D,COMELCB02,2041,13.746
REGION1,SEA1D,COMELCB02,2042,14.0265
