r,t,f,y,UseByTechnologyAnnual
REGION1,DEMINDBIO,BIO,2032,144.28
REGION1,DEMINDBIO,BIO,2033,136.26
REGION1,DEMINDBIO,BIO,2034,128.2499
REGION1,DEMINDBIO,BIO,2035,120.23
REGION1,DEMINDBIO,BIO,2036,112.22
REGION1,DEMINDBIO,BIO,2037,104.2
REGION1,DEMINDBIO,BIO,2038,96.19
REGION1,DEMINDBIO,BIO,2039,88.17
REGION1,DEMINDBIO,BIO,2040,80.16
REGION1,DEMINDBIO,BIO,2041,72.14
REGION1,DEMINDBIO,BIO,2042,64.12
REGION1,DEMINDBIO,BIO,2043,56.11
REGION1,DEMINDBIO,BIO,2044,48.09
REGION1,DEMINDBIO,BIO,2045,40.08
REGION1,DEMINDBIO,BIO,2046,32.06
REGION1,DEMINDBIO,BIO,2047,24.05
REGION1,DEMINDBIO,BIO,2048,16.03
REGION1,DEMINDBIO,BIO,2049,8.02
REGION1,DEMINDDSL,DSL,2020,108.46
REGION1,DEMINDDSL,DSL,2021,108.13
REGION1,DEMINDDSL,DSL,2022,107.38
REGION1,DEMINDDSL,DSL,2023,106.95
REGION1,DEMINDDSL,DSL,2024,107.33
REGION1,DEMINDDSL,DSL,2025,108.15
REGION1,DEMINDDSL,DSL,2026,109.45
REGION1,DEMINDDSL,DSL,2027,110.63
REGION1,DEMINDDSL,DSL,2028,111.27
REGION1,DEMINDDSL,DSL,2029,111.29
REGION1,DEMINDDSL,DSL,2030,111.38
REGION1,DEMINDDSL,DSL,2031,105.81
REGION1,DEMINDDSL,DSL,2032,100.24
REGION1,DEMINDDSL,DSL,2033,94.67
REGION1,DEMINDDSL,DSL,2034,89.1
REGION1,DEMINDDSL,DSL,2035,83.54
REGION1,DEMINDDSL,DSL,2036,77.97
REGION1,DEMINDDSL,DSL,2037,72.4
REGION1,DEMINDDSL,DSL,2038,66.83
REGION1,DEMINDDSL,DSL,2039,61.26
REGION1,DEMINDDSL,DSL,2040,55.69
REGION1,DEMINDDSL,DSL,2041,50.12
REGION1,DEMINDDSL,DSL,2042,44.55
REGION1,DEMINDDSL,DSL,2043,38.98
REGION1,DEMINDDSL,DSL,2044,33.41
REGION1,DEMINDDSL,DSL,2045,27.85
REGION1,DEMINDDSL,DSL,2046,22.28
REGION1,DEMINDDSL,DSL,2047,16.71
REGION1,DEMINDDSL,DSL,2048,11.14
REGION1,DEMINDDSL,DSL,2049,5.57
REGION1,DEMINDELCB02,ELCB02,2020,101.14
REGION1,DEMINDELCB02,ELCB02,2021,101.4
REGION1,DEMINDELCB02,ELCB02,2022,101.77
REGION1,DEMINDELCB02,ELCB02,2023,102.35
REGION1,DEMINDELCB02,ELCB02,2024,114.88
REGION1,DEMINDELCB02,ELCB02,2025,116.99
REGION1,DEMINDELCB02,ELCB02,2026,144.03
REGION1,DEMINDELCB02,ELCB02,2027,171.08
REGION1,DEMINDELCB02,ELCB02,2028,198.12
REGION1,DEMINDELCB02,ELCB02,2029,225.16
REGION1,DEMINDELCB02,ELCB02,2030,252.2
REGION1,DEMINDELCB02,ELCB02,2031,279.25
REGION1,DEMINDELCB02,ELCB02,2032,306.29
REGION1,DEMINDELCB02,ELCB02,2033,333.33
REGION1,DEMINDELCB02,ELCB02,2034,360.37
REGION1,DEMINDELCB02,ELCB02,2035,387.42
REGION1,DEMINDELCB02,ELCB02,2036,414.46
REGION1,DEMINDELCB02,ELCB02,2037,441.5
REGION1,DEMINDELCB02,ELCB02,2038,468.54
REGION1,DEMINDELCB02,ELCB02,2039,495.59
REGION1,DEMINDELCB02,ELCB02,2040,522.63
REGION1,DEMINDELCB02,ELCB02,2041,549.67
REGION1,DEMINDELCB02,ELCB02,2042,576.71
REGION1,DEMINDELCB02,ELCB02,2043,603.76
REGION1,DEMINDELCB02,ELCB02,2044,630.8
REGION1,DEMINDELCB02,ELCB02,2045,657.84
REGION1,DEMINDELCB02,ELCB02,2046,684.88
REGION1,DEMINDELCB02,ELCB02,2047,711.93
REGION1,DEMINDELCB02,ELCB02,2048,738.97
REGION1,DEMINDELCB02,ELCB02,2049,766.01
REGION1,DEMINDELCB02,ELCB02,2050,793.05
REGION1,DEMINDNGS,NGS,2020,224.86
REGION1,DEMINDNGS,NGS,2021,219.32
REGION1,DEMINDNGS,NGS,2022,213.92
REGION1,DEMINDNGS,NGS,2023,211.63
REGION1,DEMINDNGS,NGS,2024,221.34
REGION1,DEMINDNGS,NGS,2025,242.83
REGION1,DEMINDNGS,NGS,2026,275.13
REGION1,DEMINDNGS,NGS,2027,283.17
REGION1,DEMINDNGS,NGS,2028,284.61
REGION1,DEMINDNGS,NGS,2029,286.5601
REGION1,DEMINDNGS,NGS,2030,304.7
REGION1,DEMINDNGS,NGS,2031,289.47
REGION1,DEMINDNGS,NGS,2032,274.23
REGION1,DEMINDNGS,NGS,2033,259.0
REGION1,DEMINDNGS,NGS,2034,243.76
REGION1,DEMINDNGS,NGS,2035,228.53
REGION1,DEMINDNGS,NGS,2036,213.29
REGION1,DEMINDNGS,NGS,2037,198.06
REGION1,DEMINDNGS,NGS,2038,182.82
REGION1,DEMINDNGS,NGS,2039,167.59
REGION1,DEMINDNGS,NGS,2040,152.35
REGION1,DEMINDNGS,NGS,2041,137.12
REGION1,DEMINDNGS,NGS,2042,121.88
REGION1,DEMINDNGS,NGS,2043,106.65
REGION1,DEMINDNGS,NGS,2044,91.41
REGION1,DEMINDNGS,NGS,2045,76.18
REGION1,DEMINDNGS,NGS,2046,60.94
REGION1,DEMINDNGS,NGS,2047,45.71
REGION1,DEMINDNGS,NGS,2048,30.47
REGION1,DEMINDNGS,NGS,2049,15.24
REGION1,DEMPUBSURBC1,WTRSURBC1,2020,0.85
REGION1,DEMPUBSURBC1,WTRSURBC1,2021,0.86
REGION1,DEMPUBSURBC1,WTRSURBC1,2022,0.86
REGION1,DEMPUBSURBC1,WTRSURBC1,2023,0.87
REGION1,DEMPUBSURBC1,WTRSURBC1,2024,0.88
REGION1,DEMPUBSURBC1,WTRSURBC1,2025,0.89
REGION1,DEMPUBSURBC1,WTRSURBC1,2026,0.9
REGION1,DEMPUBSURBC1,WTRSURBC1,2027,0.91
REGION1,DEMPUBSURBC1,WTRSURBC1,2028,0.92
REGION1,DEMPUBSURBC1,WTRSURBC1,2029,0.93
REGION1,DEMPUBSURBC1,WTRSURBC1,2030,0.94
REGION1,DEMPUBSURBC1,WTRSURBC1,2031,0.95
REGION1,DEMPUBSURBC1,WTRSURBC1,2032,0.96
REGION1,DEMPUBSURBC1,WTRSURBC1,2033,0.98
REGION1,DEMPUBSURBC1,WTRSURBC1,2034,0.99
REGION1,DEMPUBSURBC1,WTRSURBC1,2035,1.0
REGION1,DEMPUBSURBC1,WTRSURBC1,2036,1.01
REGION1,DEMPUBSURBC1,WTRSURBC1,2037,1.02
REGION1,DEMPUBSURBC1,WTRSURBC1,2038,1.03
REGION1,DEMPUBSURBC1,WTRSURBC1,2039,1.04
REGION1,DEMPUBSURBC1,WTRSURBC1,2040,1.05
REGION1,DEMPUBSURBC1,WTRSURBC1,2041,1.06
REGION1,DEMPUBSURBC1,WTRSURBC1,2042,1.08
REGION1,DEMPUBSURBC1,WTRSURBC1,2043,1.09
REGION1,DEMPUBSURBC1,WTRSURBC1,2044,1.1
REGION1,DEMPUBSURBC1,WTRSURBC1,2045,1.11
REGION1,DEMPUBSURBC1,WTRSURBC1,2046,1.12
REGION1,DEMPUBSURBC1,WTRSURBC1,2047,1.14
REGION1,DEMPUBSURBC1,WTRSURBC1,2048,1.15
REGION1,DEMPUBSURBC1,WTRSURBC1,2049,1.16
REGION1,DEMPUBSURBC1,WTRSURBC1,2050,1.17
REGION1,DEMPWRBIO,BIO,2020,36.8995
REGION1,DEMPWRBIO,BIO,2021,36.8995
REGION1,DEMPWRBIO,BIO,2022,36.8995
REGION1,DEMPWRBIO,BIO,2023,36.8995
REGION1,DEMPWRBIO,BIO,2024,36.8995
REGION1,DEMPWRBIO,BIO,2025,36.8995
REGION1,DEMPWRBIO,BIO,2026,36.8995
REGION1,DEMPWRBIO,BIO,2027,36.8995
REGION1,DEMPWRBIO,BIO,2028,36.8995
REGION1,DEMPWRBIO,BIO,2029,36.8995
REGION1,DEMPWRBIO,BIO,2030,36.8995
REGION1,DEMPWRBIO,BIO,2031,36.8995
REGION1,DEMPWRBIO,BIO,2032,36.8995
REGION1,DEMPWRBIO,BIO,2033,36.8995
REGION1,DEMPWRBIO,BIO,2034,36.8995
REGION1,DEMPWRBIO,BIO,2035,36.8995
REGION1,DEMPWRBIO,BIO,2036,36.8995
REGION1,DEMPWRBIO,BIO,2037,36.8995
REGION1,DEMPWRBIO,BIO,2038,36.8995
REGION1,DEMPWRBIO,BIO,2039,36.8995
REGION1,DEMPWRBIO,BIO,2040,36.8995
REGION1,DEMPWRBIO,BIO,2041,36.8995
REGION1,DEMPWRBIO,BIO,2042,36.8995
REGION1,DEMPWRBIO,BIO,2043,36.8995
REGION1,DEMPWRBIO,BIO,2044,36.8995
REGION1,DEMPWRBIO,BIO,2045,36.8995
REGION1,DEMPWRBIO,BIO,2046,36.8995
REGION1,DEMPWRBIO,BIO,2047,36.8995
REGION1,DEMPWRBIO,BIO,2048,36.8995
REGION1,DEMPWRBIO,BIO,2049,36.8995
REGION1,DEMPWRBIO,BIO,2050,40.2225
REGION1,DEMPWRGEO,GEO,2026,274.5879
REGION1,DEMPWRGEO,GEO,2027,543.5108
REGION1,DEMPWRGEO,GEO,2028,543.5108
REGION1,DEMPWRGEO,GEO,2029,543.5108
REGION1,DEMPWRGEO,GEO,2030,543.5108
REGION1,DEMPWRGEO,GEO,2031,543.5108
REGION1,DEMPWRGEO,GEO,2032,543.5108
REGION1,DEMPWRGEO,GEO,2033,543.5108
REGION1,DEMPWRGEO,GEO,2034,543.5108
REGION1,DEMPWRGEO,GEO,2035,543.5108
REGION1,DEMPWRGEO,GEO,2036,543.5108
REGION1,DEMPWRGEO,GEO,2037,543.5108
REGION1,DEMPWRGEO,GEO,2038,543.5108
REGION1,DEMPWRGEO,GEO,2039,543.5108
REGION1,DEMPWRGEO,GEO,2040,543.5108
REGION1,DEMPWRGEO,GEO,2041,543.5108
REGION1,DEMPWRGEO,GEO,2042,543.5108
REGION1,DEMPWRGEO,GEO,2043,543.5108
REGION1,DEMPWRGEO,GEO,2044,543.5108
REGION1,DEMPWRGEO,GEO,2045,543.5108
REGION1,DEMPWRGEO,GEO,2046,543.5108
REGION1,DEMPWRGEO,GEO,2047,543.5108
REGION1,DEMPWRGEO,GEO,2048,543.5108
REGION1,DEMPWRGEO,GEO,2049,543.5108
REGION1,DEMPWRGEO,GEO,2050,543.5108
REGION1,DEMPWRHYD,HYD,2020,240.933
REGION1,DEMPWRHYD,HYD,2021,240.933
REGION1,DEMPWRHYD,HYD,2022,240.933
REGION1,DEMPWRHYD,HYD,2023,240.933
REGION1,DEMPWRHYD,HYD,2024,240.933
REGION1,DEMPWRHYD,HYD,2025,258.1044
REGION1,DEMPWRHYD,HYD,2026,258.1044
REGION1,DEMPWRHYD,HYD,2027,258.1044
REGION1,DEMPWRHYD,HYD,2028,258.1044
REGION1,DEMPWRHYD,HYD,2029,258.1044
REGION1,DEMPWRHYD,HYD,2030,258.1044
REGION1,DEMPWRHYD,HYD,2031,258.1044
REGION1,DEMPWRHYD,HYD,2032,258.1044
REGION1,DEMPWRHYD,HYD,2033,258.1044
REGION1,DEMPWRHYD,HYD,2034,258.1044
REGION1,DEMPWRHYD,HYD,2035,258.1044
REGION1,DEMPWRHYD,HYD,2036,258.1044
REGION1,DEMPWRHYD,HYD,2037,258.1044
REGION1,DEMPWRHYD,HYD,2038,258.1044
REGION1,DEMPWRHYD,HYD,2039,258.1044
REGION1,DEMPWRHYD,HYD,2040,258.1044
REGION1,DEMPWRHYD,HYD,2041,258.1044
REGION1,DEMPWRHYD,HYD,2042,258.1044
REGION1,DEMPWRHYD,HYD,2043,258.1044
REGION1,DEMPWRHYD,HYD,2044,258.1044
REGION1,DEMPWRHYD,HYD,2045,258.1044
REGION1,DEMPWRHYD,HYD,2046,277.9691
REGION1,DEMPWRHYD,HYD,2047,297.8185
REGION1,DEMPWRHYD,HYD,2048,332.5854
REGION1,DEMPWRHYD,HYD,2049,367.3614
REGION1,DEMPWRHYD,HYD,2050,428.2569
REGION1,DEMPWRNGS,NGS,2024,21.3559
REGION1,DEMPWRNGS,NGS,2027,6.9747
REGION1,DEMPWRNGS,NGS,2037,3.7632
REGION1,DEMPWRNGS,NGS,2038,7.7979
REGION1,DEMPWRNGS,NGS,2039,12.0461
REGION1,DEMPWRNGS,NGS,2040,16.1852
REGION1,DEMPWRNGS,NGS,2041,20.3244
REGION1,DEMPWRNGS,NGS,2042,24.4624
REGION1,DEMPWRNGS,NGS,2043,28.4414
REGION1,DEMPWRNGS,NGS,2044,32.5794
REGION1,DEMPWRNGS,NGS,2045,36.7006
REGION1,DEMPWRNGS,NGS,2046,34.6822
REGION1,DEMPWRNGS,NGS,2047,32.6654
REGION1,DEMPWRNGS,NGS,2048,25.7922
REGION1,DEMPWRNGS,NGS,2049,18.9172
REGION1,DEMPWRSOL,SOL,2020,0.0157
REGION1,DEMPWRSOL,SOL,2021,0.0157
REGION1,DEMPWRSOL,SOL,2022,0.0157
REGION1,DEMPWRSOL,SOL,2023,0.0157
REGION1,DEMPWRSOL,SOL,2024,0.0157
REGION1,DEMPWRSOL,SOL,2025,0.0157
REGION1,DEMPWRSOL,SOL,2026,0.0157
REGION1,DEMPWRSOL,SOL,2027,0.0157
REGION1,DEMPWRSOL,SOL,2028,0.0157
REGION1,DEMPWRSOL,SOL,2029,0.0157
REGION1,DEMPWRSOL,SOL,2030,0.0157
REGION1,DEMPWRSOL,SOL,2031,0.0157
REGION1,DEMPWRSOL,SOL,2032,0.0157
REGION1,DEMPWRSOL,SOL,2033,0.0157
REGION1,DEMPWRSOL,SOL,2034,0.0157
REGION1,DEMPWRSOL,SOL,2035,0.0157
REGION1,DEMPWRSOL,SOL,2036,0.0157
REGION1,DEMPWRSOL,SOL,2037,0.0157
REGION1,DEMPWRSOL,SOL,2038,0.0157
REGION1,DEMPWRSOL,SOL,2039,0.0157
REGION1,DEMPWRSOL,SOL,2040,0.0157
REGION1,DEMPWRSOL,SOL,2048,50.1924
REGION1,DEMPWRSOL,SOL,2049,100.3978
REGION1,DEMPWRSOL,SOL,2050,100.3978
REGION1,DEMPWRSURBC1,WTRSURBC1,2020,0.3768
REGION1,DEMPWRSURBC1,WTRSURBC1,2021,0.3768
REGION1,DEMPWRSURBC1,WTRSURBC1,2022,0.3768
REGION1,DEMPWRSURBC1,WTRSURBC1,2023,0.3768
REGION1,DEMPWRSURBC1,WTRSURBC1,2024,0.5563
REGION1,DEMPWRSURBC1,WTRSURBC1,2025,0.3768
REGION1,DEMPWRSURBC1,WTRSURBC1,2026,0.4632
REGION1,DEMPWRSURBC1,WTRSURBC1,2027,0.6065
REGION1,DEMPWRSURBC1,WTRSURBC1,2028,2.2668
REGION1,DEMPWRSURBC1,WTRSURBC1,2029,3.8876
REGION1,DEMPWRSURBC1,WTRSURBC1,2030,5.5085
REGION1,DEMPWRSURBC1,WTRSURBC1,2031,7.1301
REGION1,DEMPWRSURBC1,WTRSURBC1,2032,8.7514
REGION1,DEMPWRSURBC1,WTRSURBC1,2033,10.3718
REGION1,DEMPWRSURBC1,WTRSURBC1,2034,11.9931
REGION1,DEMPWRSURBC1,WTRSURBC1,2035,13.6409
REGION1,DEMPWRSURBC1,WTRSURBC1,2036,15.2618
REGION1,DEMPWRSURBC1,WTRSURBC1,2037,16.9112
REGION1,DEMPWRSURBC1,WTRSURBC1,2038,18.5737
REGION1,DEMPWRSURBC1,WTRSURBC1,2039,20.2137
