r,t,m,y,TotalAnnualTechnologyActivityByMode
REGION1,DEMAGRDSL,1,2020,14.88
REGION1,DEMAGRDSL,1,2021,15.618
REGION1,DEMAGRDSL,1,2022,16.267
REGION1,DEMAGRDSL,1,2023,16.652
REGION1,DEMAGRDSL,1,2024,17.594
REGION1,DEMAGRDSL,1,2025,18.141
REGION1,DEMAGRDSL,1,2026,18.766
REGION1,DEMAGRDSL,1,2027,19.43
REGION1,DEMAGRDSL,1,2028,20.135
REGION1,DEMAGRDSL,1,2029,20.724
REGION1,DEMAGRDSL,1,2030,21.4
REGION1,DEMAGRDSL,1,2031,22.06
REGION1,DEMAGRDSL,1,2032,22.707
REGION1,DEMAGRDSL,1,2033,23.349
REGION1,DEMAGRDSL,1,2034,24.015
REGION1,DEMAGRDSL,1,2035,24.662
REGION1,DEMAGRDSL,1,2036,25.313
REGION1,DEMAGRDSL,1,2037,25.966
REGION1,DEMAGRDSL,1,2038,26.621
REGION1,DEMAGRDSL,1,2039,27.27
REGION1,DEMAGRDSL,1,2040,27.924
REGION1,DEMAGRDSL,1,2041,28.576
REGION1,DEMAGRDSL,1,2042,29.228
REGION1,DEMAGRDSL,1,2043,29.88
REGION1,DEMAGRDSL,1,2044,30.533
REGION1,DEMAGRDSL,1,2045,31.185
REGION1,DEMAGRDSL,1,2046,31.837
REGION1,DEMAGRDSL,1,2047,32.49
REGION1,DEMAGRDSL,1,2048,33.142
REGION1,DEMAGRDSL,1,2049,33.794
REGION1,DEMAGRDSL,1,2050,34.447
REGION1,DEMAGRSURBC1,1,2020,0.3564
REGION1,DEMAGRSURBC1,1,2021,0.4246
REGION1,DEMAGRSURBC1,1,2022,0.4229
REGION1,DEMAGRSURBC1,1,2023,0.4219
REGION1,DEMAGRSURBC1,1,2024,0.4237
REGION1,DEMAGRSURBC1,1,2025,0.4491
REGION1,DEMAGRSURBC1,1,2026,0.4825
REGION1,DEMAGRSURBC1,1,2027,0.5666
REGION1,DEMAGRSURBC1,1,2028,0.604
REGION1,DEMAGRSURBC1,1,2029,0.6357
REGION1,DEMAGRSURBC1,1,2030,0.6719
REGION1,DEMAGRSURBC1,1,2031,0.7073
REGION1,DEMAGRSURBC1,1,2032,0.7341
REGION1,DEMAGRSURBC1,1,2033,0.768
REGION1,DEMAGRSURBC1,1,2034,0.801
REGION1,DEMAGRSURBC1,1,2035,1.7057
REGION1,DEMAGRSURBC1,1,2036,1.7946
REGION1,DEMAGRSURBC1,1,2037,1.832
REGION1,DEMAGRSURBC1,1,2038,1.8685
REGION1,DEMAGRSURBC1,1,2039,1.9042
REGION1,DEMAGRSURBC1,1,2040,1.9114
REGION1,DEMAGRSURBC1,1,2041,1.9206
REGION1,DEMAGRSURBC1,1,2042,1.9286
REGION1,DEMAGRSURBC1,1,2043,1.9379
REGION1,DEMAGRSURBC1,1,2044,1.9459
REGION1,DEMAGRSURBC1,1,2045,1.9546
REGION1,DEMAGRSURBC1,1,2046,1.9626
REGION1,DEMAGRSURBC1,1,2047,1.9707
REGION1,DEMAGRSURBC1,1,2048,1.9794
REGION1,DEMAGRSURBC1,1,2049,1.9883
REGION1,DEMAGRSURBC1,1,2050,1.9964
REGION1,DEMCOMBIO,1,2020,0.12
REGION1,DEMCOMBIO,1,2021,0.17
REGION1,DEMCOMBIO,1,2022,0.22
REGION1,DEMCOMBIO,1,2023,0.26
REGION1,DEMCOMBIO,1,2024,0.31
REGION1,DEMCOMBIO,1,2025,0.35
REGION1,DEMCOMBIO,1,2026,0.4
REGION1,DEMCOMBIO,1,2027,0.45
REGION1,DEMCOMBIO,1,2028,0.49
REGION1,DEMCOMBIO,1,2029,0.54
REGION1,DEMCOMBIO,1,2030,0.58
REGION1,DEMCOMBIO,1,2031,0.63
REGION1,DEMCOMBIO,1,2032,0.67
REGION1,DEMCOMBIO,1,2033,0.71
REGION1,DEMCOMBIO,1,2034,0.75
REGION1,DEMCOMBIO,1,2035,0.79
REGION1,DEMCOMBIO,1,2036,0.83
REGION1,DEMCOMBIO,1,2037,0.86
REGION1,DEMCOMBIO,1,2038,0.9
REGION1,DEMCOMBIO,1,2039,0.93
REGION1,DEMCOMBIO,1,2040,0.97
REGION1,DEMCOMBIO,1,2041,0.915
REGION1,DEMCOMBIO,1,2042,0.947
REGION1,DEMCOMBIO,1,2043,0.978
REGION1,DEMCOMBIO,1,2044,1.009
REGION1,DEMCOMBIO,1,2045,1.041
REGION1,DEMCOMBIO,1,2046,1.072
REGION1,DEMCOMBIO,1,2047,1.104
REGION1,DEMCOMBIO,1,2048,1.135
REGION1,DEMCOMBIO,1,2049,1.167
REGION1,DEMCOMBIO,1,2050,1.198
REGION1,DEMCOMELCB02,1,2020,57.0
REGION1,DEMCOMELCB02,1,2021,58.29
REGION1,DEMCOMELCB02,1,2022,59.36
REGION1,DEMCOMELCB02,1,2023,60.24
REGION1,DEMCOMELCB02,1,2024,60.96
REGION1,DEMCOMELCB02,1,2025,61.69
REGION1,DEMCOMELCB02,1,2026,62.83
REGION1,DEMCOMELCB02,1,2027,63.97
REGION1,DEMCOMELCB02,1,2028,65.11
REGION1,DEMCOMELCB02,1,2029,66.25
REGION1,DEMCOMELCB02,1,2030,67.39
REGION1,DEMCOMELCB02,1,2031,68.53
REGION1,DEMCOMELCB02,1,2032,69.67
REGION1,DEMCOMELCB02,1,2033,70.81
REGION1,DEMCOMELCB02,1,2034,71.95
REGION1,DEMCOMELCB02,1,2035,73.09
REGION1,DEMCOMELCB02,1,2036,74.23
REGION1,DEMCOMELCB02,1,2037,75.37
REGION1,DEMCOMELCB02,1,2038,76.51
REGION1,DEMCOMELCB02,1,2039,77.65
REGION1,DEMCOMELCB02,1,2040,78.79
REGION1,DEMCOMELCB02,1,2041,79.93
REGION1,DEMCOMELCB02,1,2042,81.07
REGION1,DEMCOMELCB02,1,2043,82.21
REGION1,DEMCOMELCB02,1,2044,83.35
REGION1,DEMCOMELCB02,1,2045,84.49
REGION1,DEMCOMELCB02,1,2046,85.63
REGION1,DEMCOMELCB02,1,2047,86.77
REGION1,DEMCOMELCB02,1,2048,87.91
REGION1,DEMCOMELCB02,1,2049,89.05
REGION1,DEMCOMELCB02,1,2050,90.19
REGION1,DEMCOMKER,1,2020,10.57
REGION1,DEMCOMKER,1,2021,10.8
REGION1,DEMCOMKER,1,2022,11.0
REGION1,DEMCOMKER,1,2023,11.17
REGION1,DEMCOMKER,1,2024,11.33
REGION1,DEMCOMKER,1,2025,11.48
REGION1,DEMCOMKER,1,2026,11.65
REGION1,DEMCOMKER,1,2027,11.83
REGION1,DEMCOMKER,1,2028,12.03
REGION1,DEMCOMKER,1,2029,12.23
REGION1,DEMCOMKER,1,2030,12.41
REGION1,DEMCOMKER,1,2031,12.57
REGION1,DEMCOMKER,1,2032,12.73
REGION1,DEMCOMKER,1,2033,12.87
REGION1,DEMCOMKER,1,2034,13.02
REGION1,DEMCOMKER,1,2035,13.16
REGION1,DEMCOMKER,1,2036,13.29
REGION1,DEMCOMKER,1,2037,13.4
REGION1,DEMCOMKER,1,2038,13.51
