REGION,TECHNOLOGY,MODE_OF_OPERATION,YEAR,FUEL,TIMESLICE,VALUE
REGION1,DEMAGRDSL,1,2020,DSL,SEA1D,15.030303
REGION1,DEMAGRDSL,1,2020,DSL,SEA1N,15.030303
REGION1,DEMAGRDSL,1,2020,DSL,SEA2D,15.030303
REGION1,DEMAGRDSL,1,2020,DSL,SEA2N,15.030303
REGION1,DEMAGRDSL,1,2020,DSL,SEA3D,15.030303
REGION1,DEMAGRDSL,1,2020,DSL,SEA3N,15.030303
REGION1,DEMAGRDSL,1,2020,DSL,SEA4D,15.030303
REGION1,DEMAGRDSL,1,2020,DSL,SEA4N,15.030303
REGION1,DEMAGRDSL,1,2021,DSL,SEA1D,15.775758
REGION1,DEMAGRDSL,1,2021,DSL,SEA1N,15.775758
REGION1,DEMAGRDSL,1,2021,DSL,SEA2D,15.775758
REGION1,DEMAGRDSL,1,2021,DSL,SEA2N,15.775758
REGION1,DEMAGRDSL,1,2021,DSL,SEA3D,15.775758
REGION1,DEMAGRDSL,1,2021,DSL,SEA3N,15.775758
REGION1,DEMAGRDSL,1,2021,DSL,SEA4D,15.775758
REGION1,DEMAGRDSL,1,2021,DSL,SEA4N,15.775758
REGION1,DEMAGRDSL,1,2022,DSL,SEA1D,16.431313
REGION1,DEMAGRDSL,1,2022,DSL,SEA1N,16.431313
REGION1,DEMAGRDSL,1,2022,DSL,SEA2D,16.431313
REGION1,DEMAGRDSL,1,2022,DSL,SEA2N,16.431313
REGION1,DEMAGRDSL,1,2022,DSL,SEA3D,16.431313
REGION1,DEMAGRDSL,1,2022,DSL,SEA3N,16.431313
REGION1,DEMAGRDSL,1,2022,DSL,SEA4D,16.431313
REGION1,DEMAGRDSL,1,2022,DSL,SEA4N,16.431313
REGION1,DEMAGRDSL,1,2023,DSL,SEA1D,16.820202
REGION1,DEMAGRDSL,1,2023,DSL,SEA1N,16.820202
REGION1,DEMAGRDSL,1,2023,DSL,SEA2D,16.820202
REGION1,DEMAGRDSL,1,2023,DSL,SEA2N,16.820202
REGION1,DEMAGRDSL,1,2023,DSL,SEA3D,16.820202
REGION1,DEMAGRDSL,1,2023,DSL,SEA3N,16.820202
REGION1,DEMAGRDSL,1,2023,DSL,SEA4D,16.820202
REGION1,DEMAGRDSL,1,2023,DSL,SEA4N,16.820202
REGION1,DEMAGRDSL,1,2024,DSL,SEA1D,17.771717
REGION1,DEMAGRDSL,1,2024,DSL,SEA1N,17.771717
REGION1,DEMAGRDSL,1,2024,DSL,SEA2D,17.771717
REGION1,DEMAGRDSL,1,2024,DSL,SEA2N,17.771717
REGION1,DEMAGRDSL,1,2024,DSL,SEA3D,17.771717
REGION1,DEMAGRDSL,1,2024,DSL,SEA3N,17.771717
REGION1,DEMAGRDSL,1,2024,DSL,SEA4D,17.771717
REGION1,DEMAGRDSL,1,2024,DSL,SEA4N,17.771717
REGION1,DEMAGRDSL,1,2025,DSL,SEA1D,18.324242
REGION1,DEMAGRDSL,1,2025,DSL,SEA1N,18.324242
REGION1,DEMAGRDSL,1,2025,DSL,SEA2D,18.324242
REGION1,DEMAGRDSL,1,2025,DSL,SEA2N,18.324242
REGION1,DEMAGRDSL,1,2025,DSL,SEA3D,18.324242
REGION1,DEMAGRDSL,1,2025,DSL,SEA3N,18.324242
REGION1,DEMAGRDSL,1,2025,DSL,SEA4D,18.324242
REGION1,DEMAGRDSL,1,2025,DSL,SEA4N,18.324242
REGION1,DEMAGRDSL,1,2026,DSL,SEA1D,18.955556
REGION1,DEMAGRDSL,1,2026,DSL,SEA1N,18.955556
REGION1,DEMAGRDSL,1,2026,DSL,SEA2D,18.955556
REGION1,DEMAGRDSL,1,2026,DSL,SEA2N,18.955556
REGION1,DEMAGRDSL,1,2026,DSL,SEA3D,18.955556
REGION1,DEMAGRDSL,1,2026,DSL,SEA3N,18.955556
REGION1,DEMAGRDSL,1,2026,DSL,SEA4D,18.955556
REGION1,DEMAGRDSL,1,2026,DSL,SEA4N,18.955556
REGION1,DEMAGRDSL,1,2027,DSL,SEA1D,19.626263
REGION1,DEMAGRDSL,1,2027,DSL,SEA1N,19.626263
REGION1,DEMAGRDSL,1,2027,DSL,SEA2D,19.626263
REGION1,DEMAGRDSL,1,2027,DSL,SEA2N,19.626263
REGION1,DEMAGRDSL,1,2027,DSL,SEA3D,19.626263
REGION1,DEMAGRDSL,1,2027,DSL,SEA3N,19.626263
REGION1,DEMAGRDSL,1,2027,DSL,SEA4D,19.626263
REGION1,DEMAGRDSL,1,2027,DSL,SEA4N,19.626263
REGION1,DEMAGRDSL,1,2028,DSL,SEA1D,20.338384
REGION1,DEMAGRDSL,1,2028,DSL,SEA1N,20.338384
REGION1,DEMAGRDSL,1,2028,DSL,SEA2D,20.338384
REGION1,DEMAGRDSL,1,2028,DSL,SEA2N,20.338384
REGION1,DEMAGRDSL,1,2028,DSL,SEA3D,20.338384
REGION1,DEMAGRDSL,1,2028,DSL,SEA3N,20.338384
REGION1,DEMAGRDSL,1,2028,DSL,SEA4D,20.338384
REGION1,DEMAGRDSL,1,2028,DSL,SEA4N,20.338384
REGION1,DEMAGRDSL,1,2029,DSL,SEA1D,20.933333
REGION1,DEMAGRDSL,1,2029,DSL,SEA1N,20.933333
REGION1,DEMAGRDSL,1,2029,DSL,SEA2D,20.933333
REGION1,DEMAGRDSL,1,2029,DSL,SEA2N,20.933333
REGION1,DEMAGRDSL,1,2029,DSL,SEA3D,20.933333
REGION1,DEMAGRDSL,1,2029,DSL,SEA3N,20.933333
REGION1,DEMAGRDSL,1,2029,DSL,SEA4D,20.933333
REGION1,DEMAGRDSL,1,2029,DSL,SEA4N,20.933333
REGION1,DEMAGRDSL,1,2030,DSL,SEA1D,21.616162
REGION1,DEMAGRDSL,1,2030,DSL,SEA1N,21.616162
REGION1,DEMAGRDSL,1,2030,DSL,SEA2D,21.616162
REGION1,DEMAGRDSL,1,2030,DSL,SEA2N,21.616162
REGION1,DEMAGRDSL,1,2030,DSL,SEA3D,21.616162
REGION1,DEMAGRDSL,1,2030,DSL,SEA3N,21.616162
REGION1,DEMAGRDSL,1,2030,DSL,SEA4D,21.616162
REGION1,DEMAGRDSL,1,2030,DSL,SEA4N,21.616162
