r,t,y,TotalTechnologyAnnualActivity
REGION1,DEMRESBIO,2041,15.906
REGION1,DEMRESBIO,2042,15.99
REGION1,DEMRESBIO,2043,16.075
REGION1,DEMRESBIO,2044,16.16
REGION1,DEMRESBIO,2045,16.244
REGION1,DEMRESBIO,2046,16.329
REGION1,DEMRESBIO,2047,16.413
REGION1,DEMRESBIO,2048,16.498
REGION1,DEMRESBIO,2049,16.583
REGION1,DEMRESBIO,2050,16.667
REGION1,DEMRESELCB02,2020,74.47
REGION1,DEMRESELCB02,2021,76.13
REGION1,DEMRESELCB02,2022,77.71
REGION1,DEMRESELCB02,2023,79.46
REGION1,DEMRESELCB02,2024,81.07
REGION1,DEMRESELCB02,2025,82.68
REGION1,DEMRESELCB02,2026,83.96
REGION1,DEMRESELCB02,2027,85.23
REGION1,DEMRESELCB02,2028,86.51
REGION1,DEMRESELCB02,2029,87.78
REGION1,DEMRESELCB02,2030,89.06
REGION1,DEMRESELCB02,2031,90.34
REGION1,DEMRESELCB02,2032,91.61
REGION1,DEMRESELCB02,2033,92.89
REGION1,DEMRESELCB02,2034,94.16
REGION1,DEMRESELCB02,2035,95.44
REGION1,DEMRESELCB02,2036,96.72
REGION1,DEMRESELCB02,2037,97.99
REGION1,DEMRESELCB02,2038,99.27
REGION1,DEMRESELCB02,2039,100.54
REGION1,DEMRESELCB02,2040,101.82
REGION1,DEMRESELCB02,2041,103.09
REGION1,DEMRESELCB02,2042,104.37
REGION1,DEMRESELCB02,2043,105.65
REGION1,DEMRESELCB02,2044,106.92
REGION1,DEMRESELCB02,2045,108.2
REGION1,DEMRESELCB02,2046,109.47
REGION1,DEMRESELCB02,2047,110.75
REGION1,DEMRESELCB02,2048,112.03
REGION1,DEMRESELCB02,2049,113.3
REGION1,DEMRESELCB02,2050,114.58
REGION1,DEMRESKER,2020,0.84
REGION1,DEMRESKER,2021,0.85
REGION1,DEMRESKER,2022,0.86
REGION1,DEMRESKER,2023,0.87
REGION1,DEMRESKER,2024,0.87
REGION1,DEMRESKER,2025,0.87
REGION1,DEMRESKER,2026,0.88
REGION1,DEMRESKER,2027,0.88
REGION1,DEMRESKER,2028,0.88
REGION1,DEMRESKER,2029,0.88
REGION1,DEMRESKER,2030,0.88
REGION1,DEMRESKER,2031,0.88
REGION1,DEMRESKER,2032,0.88
REGION1,DEMRESKER,2033,0.88
REGION1,DEMRESKER,2034,0.88
REGION1,DEMRESKER,2035,0.88
REGION1,DEMRESKER,2036,0.88
REGION1,DEMRESKER,2037,0.87
REGION1,DEMRESKER,2038,0.87
REGION1,DEMRESKER,2039,0.87
REGION1,DEMRESKER,2040,0.86
REGION1,DEMRESNGS,2020,81.96
REGION1,DEMRESNGS,2021,83.29
REGION1,DEMRESNGS,2022,84.55
REGION1,DEMRESNGS,2023,86.07
REGION1,DEMRESNGS,2024,87.65
REGION1,DEMRESNGS,2025,89.07
