r,t,y,SalvageValue
REGION1,LNDRAPHIBC1,2050,3.8683
REGION1,LNDRYEHRBC1,2047,0.105
REGION1,LNDRYEHRBC1,2048,0.1187
REGION1,LNDRYEHRBC1,2049,0.1227
REGION1,LNDRYEHRBC1,2050,0.1048
REGION1,LNDWHEHRBC1,2037,0.0169
REGION1,LNDWHEHRBC1,2038,0.0323
REGION1,LNDWHEHRBC1,2039,0.0462
REGION1,LNDWHEHRBC1,2040,0.0589
REGION1,LNDWHEHRBC1,2041,0.0705
REGION1,LNDWHEHRBC1,2042,0.081
REGION1,LNDWHEHRBC1,2044,0.0992
REGION1,LNDWHEHRBC1,2045,0.1071
REGION1,LNDWHEHRBC1,2046,0.3816
REGION1,LNDWHEHRBC1,2047,2.7982
REGION1,LNDWHEHRBC1,2048,2.9339
REGION1,LNDWHEHRBC1,2049,2.9272
REGION1,LNDWHEHRBC1,2050,3.1726
REGION1,MINNGS,2020,3.9663
REGION1,MINNGS,2024,0.2106
REGION1,MINNGS,2025,0.0766
REGION1,MINNGS,2026,0.2599
REGION1,MINNGS,2027,0.0153
REGION1,MINNGS,2030,0.022
REGION1,MINNGS,2031,0.1942
REGION1,MINNGS,2032,0.1028
REGION1,MINURN,2039,0.1031
REGION1,MINURN,2040,0.1597
REGION1,MINURN,2041,0.1757
REGION1,MINURN,2042,0.1611
REGION1,MINURN,2043,0.2351
REGION1,MINURN,2044,0.1608
REGION1,MINURN,2045,0.1692
REGION1,MINURN,2046,0.1221
REGION1,MINURN,2047,0.1219
REGION1,MINURN,2048,0.1221
REGION1,MINURN,2049,0.1221
REGION1,MINURN,2050,0.1221
REGION1,PWRGEOB01,2025,120.4382
REGION1,PWRGEOB01,2026,659.9747
REGION1,PWRGEOB02,2026,66.3117
REGION1,PWRGEOB02,2027,853.9068
REGION1,PWRGEOB02,2028,804.5138
REGION1,PWRGEOB02,2029,796.6318
REGION1,PWRGEOB02,2030,1119.1894
REGION1,PWRGEOB02,2031,1253.8819
REGION1,PWRGEOB02,2032,1239.1604
REGION1,PWRGEOB02,2033,863.0994
REGION1,PWRGEOB02,2034,771.1443
REGION1,PWRGEOB02,2035,932.3917
REGION1,PWRGEOB02,2036,841.5211
REGION1,PWRGEOB02,2037,1096.386
REGION1,PWRGEOB02,2038,919.3405
REGION1,PWRHYDB13,2025,5637.2244
REGION1,PWRHYDB13,2046,728.6876
REGION1,PWRHYDB13,2047,727.5179
REGION1,PWRHYDB13,2048,729.3601
REGION1,PWRHYDB13,2049,729.6512
REGION1,PWRHYDB13,2050,729.9159
REGION1,PWRSOLB01,2038,304.0172
REGION1,PWRSOLB01,2039,557.1379
REGION1,PWRURNB01,2039,657.4067
REGION1,PWRURNB01,2040,1029.0258
REGION1,PWRURNB01,2041,1142.3822
REGION1,PWRURNB01,2042,1056.0035
REGION1,PWRURNB01,2043,1552.5099
REGION1,PWRURNB01,2044,1068.9013
REGION1,PWRURNB01,2045,1132.0818
REGION1,PWRURNB01,2046,821.4511
REGION1,PWRURNB01,2047,823.832
REGION1,PWRURNB01,2048,829.2868
REGION1,PWRURNB01,2049,832.6789
REGION1,PWRURNB01,2050,835.7626
REGION1,PWRWNDB09,2045,5035.6129
REGION1,PWRWNDB09,2046,528.7217
REGION1,PWRWNDB09,2047,520.6563
REGION1,PWRWNDB09,2048,572.056
REGION1,PWRWNDB09,2049,1520.7769
