r,t,y,CapitalInvestment
REGION1,DEMAGRSURBC1,2041,0.0194
REGION1,DEMAGRSURBC1,2042,0.0195
REGION1,DEMAGRSURBC1,2043,0.0196
REGION1,DEMAGRSURBC1,2044,0.0197
REGION1,DEMAGRSURBC1,2045,0.0197
REGION1,DEMAGRSURBC1,2046,0.0198
REGION1,DEMAGRSURBC1,2047,0.0199
REGION1,DEMAGRSURBC1,2048,0.02
REGION1,DEMAGRSURBC1,2049,0.0201
REGION1,DEMAGRSURBC1,2050,0.0202
REGION1,DEMCOMBIO,2020,0.0012
REGION1,DEMCOMBIO,2021,0.0017
REGION1,DEMCOMBIO,2022,0.0022
REGION1,DEMCOMBIO,2023,0.0026
REGION1,DEMCOMBIO,2024,0.0031
REGION1,DEMCOMBIO,2025,0.0035
REGION1,DEMCOMBIO,2026,0.004
REGION1,DEMCOMBIO,2027,0.0045
REGION1,DEMCOMBIO,2028,0.0049
REGION1,DEMCOMBIO,2029,0.0055
REGION1,DEMCOMBIO,2030,0.0059
REGION1,DEMCOMBIO,2031,0.0064
REGION1,DEMCOMBIO,2032,0.0068
REGION1,DEMCOMBIO,2033,0.0072
REGION1,DEMCOMBIO,2034,0.0076
REGION1,DEMCOMBIO,2035,0.008
REGION1,DEMCOMBIO,2036,0.0084
REGION1,DEMCOMBIO,2037,0.0087
REGION1,DEMCOMBIO,2038,0.0091
REGION1,DEMCOMBIO,2039,0.0094
REGION1,DEMCOMBIO,2040,0.0098
REGION1,DEMCOMBIO,2041,0.0092
REGION1,DEMCOMBIO,2042,0.0096
REGION1,DEMCOMBIO,2043,0.0099
REGION1,DEMCOMBIO,2044,0.0102
REGION1,DEMCOMBIO,2045,0.0105
REGION1,DEMCOMBIO,2046,0.0108
REGION1,DEMCOMBIO,2047,0.0112
REGION1,DEMCOMBIO,2048,0.0115
REGION1,DEMCOMBIO,2049,0.0118
REGION1,DEMCOMBIO,2050,0.0121
REGION1,DEMCOMELCB02,2020,0.8233
REGION1,DEMCOMELCB02,2021,0.842
REGION1,DEMCOMELCB02,2022,0.8574
REGION1,DEMCOMELCB02,2023,0.8701
REGION1,DEMCOMELCB02,2024,0.8805
REGION1,DEMCOMELCB02,2025,0.8911
REGION1,DEMCOMELCB02,2026,0.9075
REGION1,DEMCOMELCB02,2027,0.924
REGION1,DEMCOMELCB02,2028,0.9405
REGION1,DEMCOMELCB02,2029,0.9569
REGION1,DEMCOMELCB02,2030,0.9734
REGION1,DEMCOMELCB02,2031,0.9899
REGION1,DEMCOMELCB02,2032,1.0063
REGION1,DEMCOMELCB02,2033,1.0228
REGION1,DEMCOMELCB02,2034,1.0393
REGION1,DEMCOMELCB02,2035,1.0557
REGION1,DEMCOMELCB02,2036,1.0722
REGION1,DEMCOMELCB02,2037,1.0887
REGION1,DEMCOMELCB02,2038,1.1051
REGION1,DEMCOMELCB02,2039,1.1216
REGION1,DEMCOMELCB02,2040,1.1381
REGION1,DEMCOMELCB02,2041,1.1545
REGION1,DEMCOMELCB02,2042,1.171
REGION1,DEMCOMELCB02,2043,1.1875
REGION1,DEMCOMELCB02,2044,1.2039
REGION1,DEMCOMELCB02,2045,1.2204
REGION1,DEMCOMELCB02,2046,1.2369
REGION1,DEMCOMELCB02,2047,1.2533
REGION1,DEMCOMELCB02,2048,1.2698
REGION1,DEMCOMELCB02,2049,1.2863
REGION1,DEMCOMELCB02,2050,1.3027
REGION1,DEMCOMKER,2020,0.1068
REGION1,DEMCOMKER,2021,0.1091
REGION1,DEMCOMKER,2022,0.1111
REGION1,DEMCOMKER,2023,0.1128
REGION1,DEMCOMKER,2024,0.1144
REGION1,DEMCOMKER,2025,0.116
REGION1,DEMCOMKER,2026,0.1177
REGION1,DEMCOMKER,2027,0.1195
REGION1,DEMCOMKER,2028,0.1215
REGION1,DEMCOMKER,2029,0.1235
REGION1,DEMCOMKER,2030,0.1254
REGION1,DEMCOMKER,2031,0.127
REGION1,DEMCOMKER,2032,0.1286
REGION1,DEMCOMKER,2033,0.13
REGION1,DEMCOMKER,2034,0.1315
REGION1,DEMCOMKER,2035,0.1329
REGION1,DEMCOMKER,2036,0.1342
REGION1,DEMCOMKER,2037,0.1354
REGION1,DEMCOMKER,2038,0.1365
REGION1,DEMCOMKER,2039,0.1374
REGION1,DEMCOMKER,2040,0.1384
REGION1,DEMCOMKER,2041,0.1434
REGION1,DEMCOMKER,2042,0.1453
REGION1,DEMCOMKER,2043,0.1472
REGION1,DEMCOMKER,2044,0.1491
REGION1,DEMCOMKER,2045,0.151
REGION1,DEMCOMKER,2046,0.1529
REGION1,DEMCOMKER,2047,0.1548
REGION1,DEMCOMKER,2048,0.1567
REGION1,DEMCOMKER,2049,0.1586
REGION1,DEMCOMKER,2050,0.1605
REGION1,DEMCOMNGS,2020,0.849
REGION1,DEMCOMNGS,2021,0.8495
REGION1,DEMCOMNGS,2022,0.8489
REGION1,DEMCOMNGS,2023,0.8496
REGION1,DEMCOMNGS,2024,0.8548
REGION1,DEMCOMNGS,2025,0.8653
REGION1,DEMCOMNGS,2026,0.8306
REGION1,DEMCOMNGS,2027,0.7961
REGION1,DEMCOMNGS,2028,0.7614
REGION1,DEMCOMNGS,2029,0.7268
REGION1,DEMCOMNGS,2030,0.6922
REGION1,DEMCOMNGS,2031,0.6576
REGION1,DEMCOMNGS,2032,0.623
REGION1,DEMCOMNGS,2033,0.5884
REGION1,DEMCOMNGS,2034,0.5537
REGION1,DEMCOMNGS,2035,0.5192
REGION1,DEMCOMNGS,2036,0.4845
REGION1,DEMCOMNGS,2037,0.4499
REGION1,DEMCOMNGS,2038,0.4154
REGION1,DEMCOMNGS,2039,0.3807
REGION1,DEMCOMNGS,2040,0.3461
REGION1,DEMCOMNGS,2041,0.3115
REGION1,DEMCOMNGS,2042,0.2769
REGION1,DEMCOMNGS,2043,0.2423
REGION1,DEMCOMNGS,2044,0.2077
REGION1,DEMCOMNGS,2045,0.173
REGION1,DEMCOMNGS,2046,0.1385
REGION1,DEMCOMNGS,2047,0.1038
REGION1,DEMCOMNGS,2048,0.0692
REGION1,DEMCOMNGS,2049,0.0346
REGION1,DEMCOMNGS,2050,0.0
REGION1,DEMINDBIO,2020,1.6166
REGION1,DEMINDBIO,2021,1.6231
REGION1,DEMINDBIO,2022,1.6275
REGION1,DEMINDBIO,2023,1.6346
REGION1,DEMINDBIO,2024,1.6428
REGION1,DEMINDBIO,2025,1.6378
REGION1,DEMINDBIO,2026,1.6356
REGION1,DEMINDBIO,2027,1.6345
REGION1,DEMINDBIO,2028,1.6331
REGION1,DEMINDBIO,2029,1.6271
REGION1,DEMINDBIO,2030,1.6193
REGION1,DEMINDBIO,2031,1.6093
REGION1,DEMINDBIO,2032,1.5978
REGION1,DEMINDBIO,2033,1.5848
REGION1,DEMINDBIO,2034,1.5696
REGION1,DEMINDBIO,2035,1.5566
REGION1,DEMINDBIO,2036,1.5432
REGION1,DEMINDBIO,2037,1.53
REGION1,DEMINDBIO,2038,1.5173
REGION1,DEMINDBIO,2039,1.5053
REGION1,DEMINDBIO,2040,1.4936
REGION1,DEMINDBIO,2041,1.4886
REGION1,DEMINDBIO,2042,1.4775
REGION1,DEMINDBIO,2043,1.4665
REGION1,DEMINDBIO,2044,1.4554
REGION1,DEMINDBIO,2045,1.4443
REGION1,DEMINDBIO,2046,1.4333
REGION1,DEMINDBIO,2047,1.4222
REGION1,DEMINDBIO,2048,1.4111
REGION1,DEMINDBIO,2049,1.4001
REGION1,DEMINDBIO,2050,1.389
REGION1,DEMINDDSL,2020,1.0956
REGION1,DEMINDDSL,2021,1.0922
REGION1,DEMINDDSL,2022,1.0846
REGION1,DEMINDDSL,2023,1.0803
REGION1,DEMINDDSL,2024,1.0841
REGION1,DEMINDDSL,2025,1.0924
REGION1,DEMINDDSL,2026,1.1056
REGION1,DEMINDDSL,2027,1.1175
REGION1,DEMINDDSL,2028,1.1239
REGION1,DEMINDDSL,2029,1.1241
REGION1,DEMINDDSL,2030,1.1251
REGION1,DEMINDDSL,2031,1.1278
REGION1,DEMINDDSL,2032,1.1325
REGION1,DEMINDDSL,2033,1.1338
REGION1,DEMINDDSL,2034,1.1344
REGION1,DEMINDDSL,2035,1.1358
REGION1,DEMINDDSL,2036,1.138
REGION1,DEMINDDSL,2037,1.1416
REGION1,DEMINDDSL,2038,1.1468
REGION1,DEMINDDSL,2039,1.1534
REGION1,DEMINDDSL,2040,1.1613
REGION1,DEMINDDSL,2041,1.1576
REGION1,DEMINDDSL,2042,1.1607
REGION1,DEMINDDSL,2043,1.1637
REGION1,DEMINDDSL,2044,1.1667
REGION1,DEMINDDSL,2045,1.1697
REGION1,DEMINDDSL,2046,1.1728
REGION1,DEMINDDSL,2047,1.1758
REGION1,DEMINDDSL,2048,1.1788
REGION1,DEMINDDSL,2049,1.1818
REGION1,DEMINDDSL,2050,1.1848
REGION1,DEMINDELCB02,2020,1.4609
REGION1,DEMINDELCB02,2021,1.4647
REGION1,DEMINDELCB02,2022,1.47
REGION1,DEMINDELCB02,2023,1.4784
REGION1,DEMINDELCB02,2024,1.6594
REGION1,DEMINDELCB02,2025,1.6899
REGION1,DEMINDELCB02,2026,1.7393
REGION1,DEMINDELCB02,2027,1.7387
REGION1,DEMINDELCB02,2028,1.732
REGION1,DEMINDELCB02,2029,1.7232
REGION1,DEMINDELCB02,2030,1.7394
REGION1,DEMINDELCB02,2031,1.7648
REGION1,DEMINDELCB02,2032,1.7876
REGION1,DEMINDELCB02,2033,1.7797
REGION1,DEMINDELCB02,2034,1.7638
REGION1,DEMINDELCB02,2035,1.7504
REGION1,DEMINDELCB02,2036,1.7384
REGION1,DEMINDELCB02,2037,1.728
REGION1,DEMINDELCB02,2038,1.7209
REGION1,DEMINDELCB02,2039,1.714
REGION1,DEMINDELCB02,2040,1.707
REGION1,DEMINDELCB02,2041,1.707
REGION1,DEMINDELCB02,2042,1.7007
REGION1,DEMINDELCB02,2043,1.6945
REGION1,DEMINDELCB02,2044,1.6881
REGION1,DEMINDELCB02,2045,1.6818
REGION1,DEMINDELCB02,2046,1.6756
REGION1,DEMINDELCB02,2047,1.6692
REGION1,DEMINDELCB02,2048,1.6628
REGION1,DEMINDELCB02,2049,1.6566
REGION1,DEMINDELCB02,2050,1.6503
REGION1,DEMINDNGS,2020,2.2713
REGION1,DEMINDNGS,2021,2.2154
REGION1,DEMINDNGS,2022,2.1608
REGION1,DEMINDNGS,2023,2.1377
REGION1,DEMINDNGS,2024,2.2358
REGION1,DEMINDNGS,2025,2.4528
REGION1,DEMINDNGS,2026,2.7791
REGION1,DEMINDNGS,2027,2.8603
REGION1,DEMINDNGS,2028,2.8748
REGION1,DEMINDNGS,2029,2.8945
REGION1,DEMINDNGS,2030,3.0778
REGION1,DEMINDNGS,2031,3.338
REGION1,DEMINDNGS,2032,3.5003
REGION1,DEMINDNGS,2033,3.4882
REGION1,DEMINDNGS,2034,3.4793
REGION1,DEMINDNGS,2035,3.4809
REGION1,DEMINDNGS,2036,3.4807
REGION1,DEMINDNGS,2037,3.4772
REGION1,DEMINDNGS,2038,3.4771
REGION1,DEMINDNGS,2039,3.4797
REGION1,DEMINDNGS,2040,3.483
REGION1,DEMINDNGS,2041,3.7197
REGION1,DEMINDNGS,2042,3.775
REGION1,DEMINDNGS,2043,3.8302
REGION1,DEMINDNGS,2044,3.8854
REGION1,DEMINDNGS,2045,3.9406
REGION1,DEMINDNGS,2046,3.9958
REGION1,DEMINDNGS,2047,4.051
REGION1,DEMINDNGS,2048,4.1062
REGION1,DEMINDNGS,2049,4.1614
REGION1,DEMINDNGS,2050,4.2167
REGION1,DEMPUBSURBC1,2020,0.0086
REGION1,DEMPUBSURBC1,2021,0.0087
REGION1,DEMPUBSURBC1,2022,0.0087
REGION1,DEMPUBSURBC1,2023,0.0088
REGION1,DEMPUBSURBC1,2024,0.0089
REGION1,DEMPUBSURBC1,2025,0.009
REGION1,DEMPUBSURBC1,2026,0.0091
REGION1,DEMPUBSURBC1,2027,0.0092
REGION1,DEMPUBSURBC1,2028,0.0093
REGION1,DEMPUBSURBC1,2029,0.0094
REGION1,DEMPUBSURBC1,2030,0.0095
REGION1,DEMPUBSURBC1,2031,0.0096
REGION1,DEMPUBSURBC1,2032,0.0097
REGION1,DEMPUBSURBC1,2033,0.0099
REGION1,DEMPUBSURBC1,2034,0.01
REGION1,DEMPUBSURBC1,2035,0.0101
REGION1,DEMPUBSURBC1,2036,0.0102
REGION1,DEMPUBSURBC1,2037,0.0103
REGION1,DEMPUBSURBC1,2038,0.0104
REGION1,DEMPUBSURBC1,2039,0.0105
REGION1,DEMPUBSURBC1,2040,0.0106
REGION1,DEMPUBSURBC1,2041,0.0107
REGION1,DEMPUBSURBC1,2042,0.0109
REGION1,DEMPUBSURBC1,2043,0.011
REGION1,DEMPUBSURBC1,2044,0.0111
REGION1,DEMPUBSURBC1,2045,0.0112
REGION1,DEMPUBSURBC1,2046,0.0113
REGION1,DEMPUBSURBC1,2047,0.0115
REGION1,DEMPUBSURBC1,2048,0.0116
REGION1,DEMPUBSURBC1,2049,0.0117
REGION1,DEMPUBSURBC1,2050,0.0118
REGION1,DEMPWRBIO,2020,0.3727
REGION1,DEMPWRBIO,2021,0.3727
REGION1,DEMPWRBIO,2022,0.3727
REGION1,DEMPWRBIO,2023,0.3727
REGION1,DEMPWRBIO,2024,0.3727
REGION1,DEMPWRBIO,2025,0.3727
REGION1,DEMPWRBIO,2026,0.3727
REGION1,DEMPWRBIO,2027,0.3727
REGION1,DEMPWRBIO,2028,0.3727
REGION1,DEMPWRBIO,2029,0.3727
REGION1,DEMPWRBIO,2030,0.3727
REGION1,DEMPWRBIO,2031,0.3727
REGION1,DEMPWRBIO,2032,0.3727
REGION1,DEMPWRBIO,2033,0.3727
REGION1,DEMPWRBIO,2034,0.3727
REGION1,DEMPWRBIO,2035,0.3727
REGION1,DEMPWRBIO,2036,0.3727
REGION1,DEMPWRBIO,2037,0.3727
REGION1,DEMPWRBIO,2038,0.3727
REGION1,DEMPWRBIO,2039,0.3727
REGION1,DEMPWRBIO,2040,0.3727
REGION1,DEMPWRBIO,2041,0.3727
REGION1,DEMPWRBIO,2042,0.3727
REGION1,DEMPWRBIO,2043,0.3727
REGION1,DEMPWRBIO,2044,0.3727
REGION1,DEMPWRBIO,2045,0.3727
REGION1,DEMPWRBIO,2046,0.3727
REGION1,DEMPWRBIO,2047,0.3727
REGION1,DEMPWRBIO,2048,0.3727
REGION1,DEMPWRBIO,2049,0.3727
REGION1,DEMPWRBIO,2050,0.3727
REGION1,DEMPWRGEO,2025,0.1161
REGION1,DEMPWRGEO,2026,0.7629
REGION1,DEMPWRGEO,2027,1.1503
REGION1,DEMPWRGEO,2028,1.5063
REGION1,DEMPWRGEO,2029,1.8511
REGION1,DEMPWRGEO,2030,2.3259
REGION1,DEMPWRGEO,2031,2.8487
REGION1,DEMPWRGEO,2032,3.3572
REGION1,DEMPWRGEO,2033,3.7065
REGION1,DEMPWRGEO,2034,4.0146
REGION1,DEMPWRGEO,2035,4.3829
REGION1,DEMPWRGEO,2036,4.712
REGION1,DEMPWRGEO,2037,5.1368
REGION1,DEMPWRGEO,2038,5.49
REGION1,DEMPWRGEO,2039,5.49
REGION1,DEMPWRGEO,2040,5.49
REGION1,DEMPWRGEO,2041,5.49
REGION1,DEMPWRGEO,2042,5.49
REGION1,DEMPWRGEO,2043,5.49
REGION1,DEMPWRGEO,2044,5.49
REGION1,DEMPWRGEO,2045,5.49
REGION1,DEMPWRGEO,2046,5.49
REGION1,DEMPWRGEO,2047,5.49
REGION1,DEMPWRGEO,2048,5.49
REGION1,DEMPWRGEO,2049,5.49
REGION1,DEMPWRGEO,2050,5.49
REGION1,DEMPWRHYD,2020,3.4025
REGION1,DEMPWRHYD,2021,3.4297
REGION1,DEMPWRHYD,2022,3.4571
REGION1,DEMPWRHYD,2023,3.491
REGION1,DEMPWRHYD,2024,3.6138
REGION1,DEMPWRHYD,2025,3.7755
REGION1,DEMPWRHYD,2026,3.8276
REGION1,DEMPWRHYD,2027,3.8588
REGION1,DEMPWRHYD,2028,3.8875
REGION1,DEMPWRHYD,2029,3.9153
REGION1,DEMPWRHYD,2030,3.9536
REGION1,DEMPWRHYD,2031,3.9957
REGION1,DEMPWRHYD,2032,4.0367
REGION1,DEMPWRHYD,2033,4.0648
REGION1,DEMPWRHYD,2034,4.0897
REGION1,DEMPWRHYD,2035,4.1143
REGION1,DEMPWRHYD,2036,4.1408
REGION1,DEMPWRHYD,2037,4.1654
REGION1,DEMPWRHYD,2038,4.1881
REGION1,DEMPWRHYD,2039,4.2181
REGION1,DEMPWRHYD,2040,4.2467
REGION1,DEMPWRHYD,2041,4.2782
REGION1,DEMPWRHYD,2042,4.3071
REGION1,DEMPWRHYD,2043,4.3308
REGION1,DEMPWRHYD,2044,4.3596
REGION1,DEMPWRHYD,2045,4.388
REGION1,DEMPWRHYD,2046,4.4331
REGION1,DEMPWRHYD,2047,4.4781
REGION1,DEMPWRHYD,2048,4.5232
REGION1,DEMPWRHYD,2049,4.5683
REGION1,DEMPWRHYD,2050,4.6134
REGION1,DEMPWRNGS,2024,0.169
REGION1,DEMPWRSOL,2020,0.0004
REGION1,DEMPWRSOL,2021,0.0004
REGION1,DEMPWRSOL,2022,0.0004
REGION1,DEMPWRSOL,2023,0.0004
REGION1,DEMPWRSOL,2024,0.0004
REGION1,DEMPWRSOL,2025,0.0004
REGION1,DEMPWRSOL,2026,0.0004
REGION1,DEMPWRSOL,2027,0.0004
REGION1,DEMPWRSOL,2028,0.0004
REGION1,DEMPWRSOL,2029,0.0004
REGION1,DEMPWRSOL,2030,0.0004
REGION1,DEMPWRSOL,2031,0.0004
REGION1,DEMPWRSOL,2032,0.0004
REGION1,DEMPWRSOL,2033,0.0004
REGION1,DEMPWRSOL,2034,0.0004
REGION1,DEMPWRSOL,2035,0.0004
REGION1,DEMPWRSOL,2036,0.0004
REGION1,DEMPWRSOL,2037,0.0004
REGION1,DEMPWRSOL,2038,0.1246
REGION1,DEMPWRSOL,2039,0.3429
REGION1,DEMPWRSOL,2040,0.3429
REGION1,DEMPWRSOL,2041,0.3425
REGION1,DEMPWRSOL,2042,0.3425
REGION1,DEMPWRSOL,2043,0.3425
REGION1,DEMPWRSOL,2044,0.3425
REGION1,DEMPWRSOL,2045,0.3425
REGION1,DEMPWRSOL,2046,0.3425
REGION1,DEMPWRSOL,2047,0.3425
REGION1,DEMPWRSOL,2048,0.3425
REGION1,DEMPWRSOL,2049,0.3425
REGION1,DEMPWRSOL,2050,0.3425
REGION1,DEMPWRSURBC1,2020,0.0038
REGION1,DEMPWRSURBC1,2021,0.0038
REGION1,DEMPWRSURBC1,2022,0.0038
REGION1,DEMPWRSURBC1,2023,0.0038
REGION1,DEMPWRSURBC1,2024,0.0052
REGION1,DEMPWRSURBC1,2025,0.0038
REGION1,DEMPWRSURBC1,2026,0.004
REGION1,DEMPWRSURBC1,2027,0.0042
REGION1,DEMPWRSURBC1,2028,0.0043
REGION1,DEMPWRSURBC1,2029,0.0044
REGION1,DEMPWRSURBC1,2030,0.0045
REGION1,DEMPWRSURBC1,2031,0.0047
REGION1,DEMPWRSURBC1,2032,0.0049
REGION1,DEMPWRSURBC1,2033,0.005
REGION1,DEMPWRSURBC1,2034,0.0051
REGION1,DEMPWRSURBC1,2035,0.0052
REGION1,DEMPWRSURBC1,2036,0.0053
REGION1,DEMPWRSURBC1,2037,0.0054
REGION1,DEMPWRSURBC1,2038,0.0055
REGION1,DEMPWRSURBC1,2039,0.0068
REGION1,DEMPWRSURBC1,2040,0.0088
REGION1,DEMPWRSURBC1,2041,0.0111
REGION1,DEMPWRSURBC1,2042,0.0131
REGION1,DEMPWRSURBC1,2043,0.0161
REGION1,DEMPWRSURBC1,2044,0.0181
REGION1,DEMPWRSURBC1,2045,0.0202
REGION1,DEMPWRSURBC1,2046,0.0218
REGION1,DEMPWRSURBC1,2047,0.0233
REGION1,DEMPWRSURBC1,2048,0.0248
REGION1,DEMPWRSURBC1,2049,0.0264
REGION1,DEMPWRSURBC1,2050,0.0279
REGION1,DEMPWRURN,2039,0.1031
REGION1,DEMPWRURN,2040,0.2629
REGION1,DEMPWRURN,2041,0.4386
REGION1,DEMPWRURN,2042,0.5998
REGION1,DEMPWRURN,2043,0.8349
REGION1,DEMPWRURN,2044,0.9956
REGION1,DEMPWRURN,2045,1.1649
REGION1,DEMPWRURN,2046,1.287
REGION1,DEMPWRURN,2047,1.4089
REGION1,DEMPWRURN,2048,1.531
REGION1,DEMPWRURN,2049,1.6532
REGION1,DEMPWRURN,2050,1.7753
REGION1,DEMPWRWND,2020,2.0801
REGION1,DEMPWRWND,2021,2.2651
REGION1,DEMPWRWND,2022,2.4444
REGION1,DEMPWRWND,2023,2.6387
REGION1,DEMPWRWND,2024,3.1486
REGION1,DEMPWRWND,2025,3.1486
REGION1,DEMPWRWND,2026,3.1486
REGION1,DEMPWRWND,2027,3.1486
REGION1,DEMPWRWND,2028,3.1486
REGION1,DEMPWRWND,2029,3.1486
REGION1,DEMPWRWND,2030,3.1486
REGION1,DEMPWRWND,2031,3.1486
REGION1,DEMPWRWND,2032,3.1486
REGION1,DEMPWRWND,2033,3.1486
REGION1,DEMPWRWND,2034,3.1486
REGION1,DEMPWRWND,2035,3.1242
REGION1,DEMPWRWND,2036,3.1242
REGION1,DEMPWRWND,2037,3.0785
REGION1,DEMPWRWND,2038,3.0188
REGION1,DEMPWRWND,2039,2.9631
REGION1,DEMPWRWND,2040,2.9631
REGION1,DEMPWRWND,2041,2.9631
REGION1,DEMPWRWND,2042,2.9631
REGION1,DEMPWRWND,2043,2.871
REGION1,DEMPWRWND,2044,2.871
REGION1,DEMPWRWND,2045,2.8614
REGION1,DEMPWRWND,2046,2.8614
REGION1,DEMPWRWND,2047,2.8614
REGION1,DEMPWRWND,2048,2.8614
REGION1,DEMPWRWND,2049,2.8614
REGION1,DEMPWRWND,2050,2.8614
REGION1,DEMRESBIO,2020,0.1311
REGION1,DEMRESBIO,2021,0.1336
REGION1,DEMRESBIO,2022,0.1359
REGION1,DEMRESBIO,2023,0.1386
REGION1,DEMRESBIO,2024,0.1414
REGION1,DEMRESBIO,2025,0.144
REGION1,DEMRESBIO,2026,0.1466
REGION1,DEMRESBIO,2027,0.1487
REGION1,DEMRESBIO,2028,0.1509
REGION1,DEMRESBIO,2029,0.1529
REGION1,DEMRESBIO,2030,0.1544
REGION1,DEMRESBIO,2031,0.156
REGION1,DEMRESBIO,2032,0.1575
REGION1,DEMRESBIO,2033,0.1586
REGION1,DEMRESBIO,2034,0.1598
REGION1,DEMRESBIO,2035,0.1607
REGION1,DEMRESBIO,2036,0.1612
REGION1,DEMRESBIO,2037,0.1615
REGION1,DEMRESBIO,2038,0.1616
REGION1,DEMRESBIO,2039,0.1614
REGION1,DEMRESBIO,2040,0.1612
REGION1,DEMRESBIO,2041,0.1607
REGION1,DEMRESBIO,2042,0.1615
REGION1,DEMRESBIO,2043,0.1624
REGION1,DEMRESBIO,2044,0.1632
REGION1,DEMRESBIO,2045,0.1641
REGION1,DEMRESBIO,2046,0.1649
REGION1,DEMRESBIO,2047,0.1658
REGION1,DEMRESBIO,2048,0.1666
REGION1,DEMRESBIO,2049,0.1675
REGION1,DEMRESBIO,2050,0.1684
REGION1,DEMRESELCB02,2020,1.0757
REGION1,DEMRESELCB02,2021,1.0997
REGION1,DEMRESELCB02,2022,1.1225
REGION1,DEMRESELCB02,2023,1.1478
REGION1,DEMRESELCB02,2024,1.171
REGION1,DEMRESELCB02,2025,1.1943
REGION1,DEMRESELCB02,2026,1.2128
REGION1,DEMRESELCB02,2027,1.2311
REGION1,DEMRESELCB02,2028,1.2496
REGION1,DEMRESELCB02,2029,1.2679
REGION1,DEMRESELCB02,2030,1.2864
REGION1,DEMRESELCB02,2031,1.3049
REGION1,DEMRESELCB02,2032,1.3233
REGION1,DEMRESELCB02,2033,1.3417
REGION1,DEMRESELCB02,2034,1.3601
REGION1,DEMRESELCB02,2035,1.3786
REGION1,DEMRESELCB02,2036,1.3971
REGION1,DEMRESELCB02,2037,1.4154
REGION1,DEMRESELCB02,2038,1.4339
REGION1,DEMRESELCB02,2039,1.4522
REGION1,DEMRESELCB02,2040,1.4707
REGION1,DEMRESELCB02,2041,1.4891
REGION1,DEMRESELCB02,2042,1.5076
REGION1,DEMRESELCB02,2043,1.5261
REGION1,DEMRESELCB02,2044,1.5444
REGION1,DEMRESELCB02,2045,1.5629
REGION1,DEMRESELCB02,2046,1.5812
REGION1,DEMRESELCB02,2047,1.5997
REGION1,DEMRESELCB02,2048,1.6182
REGION1,DEMRESELCB02,2049,1.6366
REGION1,DEMRESELCB02,2050,1.655
REGION1,DEMRESKER,2020,0.0085
REGION1,DEMRESKER,2021,0.0086
REGION1,DEMRESKER,2022,0.0087
REGION1,DEMRESKER,2023,0.0088
REGION1,DEMRESKER,2024,0.0088
REGION1,DEMRESKER,2025,0.0088
REGION1,DEMRESKER,2026,0.0089
REGION1,DEMRESKER,2027,0.0089
REGION1,DEMRESKER,2028,0.0089
REGION1,DEMRESKER,2029,0.0089
REGION1,DEMRESKER,2030,0.0089
REGION1,DEMRESKER,2031,0.0089
REGION1,DEMRESKER,2032,0.0089
