r,t,y,AccumulatedNewCapacity
REGION1,DEMAGRDSL,2020,15.0303
REGION1,DEMAGRDSL,2021,15.7758
REGION1,DEMAGRDSL,2022,16.4313
REGION1,DEMAGRDSL,2023,16.8202
REGION1,DEMAGRDSL,2024,17.7717
REGION1,DEMAGRDSL,2025,18.3242
REGION1,DEMAGRDSL,2026,18.9556
REGION1,DEMAGRDSL,2027,19.6263
REGION1,DEMAGRDSL,2028,20.3384
REGION1,DEMAGRDSL,2029,20.9333
REGION1,DEMAGRDSL,2030,21.6162
REGION1,DEMAGRDSL,2031,22.2828
REGION1,DEMAGRDSL,2032,22.9364
REGION1,DEMAGRDSL,2033,23.5848
REGION1,DEMAGRDSL,2034,24.2576
REGION1,DEMAGRDSL,2035,24.9111
REGION1,DEMAGRDSL,2036,25.5687
REGION1,DEMAGRDSL,2037,26.2283
REGION1,DEMAGRDSL,2038,26.8899
REGION1,DEMAGRDSL,2039,27.5455
REGION1,DEMAGRDSL,2040,28.2061
REGION1,DEMAGRDSL,2041,28.8646
REGION1,DEMAGRDSL,2042,29.5232
REGION1,DEMAGRDSL,2043,30.1818
REGION1,DEMAGRDSL,2044,30.8414
REGION1,DEMAGRDSL,2045,31.5
REGION1,DEMAGRDSL,2046,32.1586
REGION1,DEMAGRDSL,2047,32.8182
REGION1,DEMAGRDSL,2048,33.4768
REGION1,DEMAGRDSL,2049,34.1354
REGION1,DEMAGRDSL,2050,34.7949
REGION1,DEMAGRSURBC1,2020,0.36
REGION1,DEMAGRSURBC1,2021,0.4289
REGION1,DEMAGRSURBC1,2022,0.4272
REGION1,DEMAGRSURBC1,2023,0.4262
REGION1,DEMAGRSURBC1,2024,0.428
REGION1,DEMAGRSURBC1,2025,0.4536
REGION1,DEMAGRSURBC1,2026,0.4874
REGION1,DEMAGRSURBC1,2027,0.5723
REGION1,DEMAGRSURBC1,2028,0.6101
REGION1,DEMAGRSURBC1,2029,0.6421
REGION1,DEMAGRSURBC1,2030,0.6787
REGION1,DEMAGRSURBC1,2031,0.7145
REGION1,DEMAGRSURBC1,2032,0.7415
REGION1,DEMAGRSURBC1,2033,0.7758
REGION1,DEMAGRSURBC1,2034,0.8091
REGION1,DEMAGRSURBC1,2035,1.7229
REGION1,DEMAGRSURBC1,2036,1.8128
REGION1,DEMAGRSURBC1,2037,1.8505
REGION1,DEMAGRSURBC1,2038,1.8873
REGION1,DEMAGRSURBC1,2039,1.9234
REGION1,DEMAGRSURBC1,2040,1.9308
REGION1,DEMAGRSURBC1,2041,1.94
REGION1,DEMAGRSURBC1,2042,1.9481
REGION1,DEMAGRSURBC1,2043,1.9574
REGION1,DEMAGRSURBC1,2044,1.9656
REGION1,DEMAGRSURBC1,2045,1.9743
REGION1,DEMAGRSURBC1,2046,1.9824
REGION1,DEMAGRSURBC1,2047,1.9906
REGION1,DEMAGRSURBC1,2048,1.9994
REGION1,DEMAGRSURBC1,2049,2.0084
REGION1,DEMAGRSURBC1,2050,2.0166
REGION1,DEMCOMBIO,2020,0.1212
REGION1,DEMCOMBIO,2021,0.1717
REGION1,DEMCOMBIO,2022,0.2222
REGION1,DEMCOMBIO,2023,0.2626
REGION1,DEMCOMBIO,2024,0.3131
REGION1,DEMCOMBIO,2025,0.3535
REGION1,DEMCOMBIO,2026,0.404
REGION1,DEMCOMBIO,2027,0.4545
REGION1,DEMCOMBIO,2028,0.4949
REGION1,DEMCOMBIO,2029,0.5455
REGION1,DEMCOMBIO,2030,0.5859
REGION1,DEMCOMBIO,2031,0.6364
REGION1,DEMCOMBIO,2032,0.6768
REGION1,DEMCOMBIO,2033,0.7172
REGION1,DEMCOMBIO,2034,0.7576
REGION1,DEMCOMBIO,2035,0.798
REGION1,DEMCOMBIO,2036,0.8384
REGION1,DEMCOMBIO,2037,0.8687
REGION1,DEMCOMBIO,2038,0.9091
REGION1,DEMCOMBIO,2039,0.9394
REGION1,DEMCOMBIO,2040,0.9798
REGION1,DEMCOMBIO,2041,0.9242
REGION1,DEMCOMBIO,2042,0.9566
REGION1,DEMCOMBIO,2043,0.9879
REGION1,DEMCOMBIO,2044,1.0192
REGION1,DEMCOMBIO,2045,1.0515
REGION1,DEMCOMBIO,2046,1.0828
REGION1,DEMCOMBIO,2047,1.1152
REGION1,DEMCOMBIO,2048,1.1465
REGION1,DEMCOMBIO,2049,1.1788
REGION1,DEMCOMBIO,2050,1.2101
REGION1,DEMCOMELCB02,2020,82.3333
REGION1,DEMCOMELCB02,2021,84.1967
REGION1,DEMCOMELCB02,2022,85.7422
REGION1,DEMCOMELCB02,2023,87.0133
REGION1,DEMCOMELCB02,2024,88.0533
REGION1,DEMCOMELCB02,2025,89.1078
REGION1,DEMCOMELCB02,2026,90.7544
REGION1,DEMCOMELCB02,2027,92.4011
REGION1,DEMCOMELCB02,2028,94.0478
REGION1,DEMCOMELCB02,2029,95.6944
REGION1,DEMCOMELCB02,2030,97.3411
REGION1,DEMCOMELCB02,2031,98.9878
REGION1,DEMCOMELCB02,2032,100.6344
REGION1,DEMCOMELCB02,2033,102.2811
REGION1,DEMCOMELCB02,2034,103.9278
REGION1,DEMCOMELCB02,2035,105.5744
REGION1,DEMCOMELCB02,2036,107.2211
REGION1,DEMCOMELCB02,2037,108.8678
REGION1,DEMCOMELCB02,2038,110.5144
REGION1,DEMCOMELCB02,2039,112.1611
REGION1,DEMCOMELCB02,2040,113.8078
REGION1,DEMCOMELCB02,2041,115.4544
REGION1,DEMCOMELCB02,2042,117.1011
REGION1,DEMCOMELCB02,2043,118.7478
REGION1,DEMCOMELCB02,2044,120.3944
REGION1,DEMCOMELCB02,2045,122.0411
REGION1,DEMCOMELCB02,2046,123.6878
REGION1,DEMCOMELCB02,2047,125.3344
REGION1,DEMCOMELCB02,2048,126.9811
REGION1,DEMCOMELCB02,2049,128.6278
REGION1,DEMCOMELCB02,2050,130.2744
REGION1,DEMCOMKER,2020,10.6768
REGION1,DEMCOMKER,2021,10.9091
REGION1,DEMCOMKER,2022,11.1111
REGION1,DEMCOMKER,2023,11.2828
REGION1,DEMCOMKER,2024,11.4444
REGION1,DEMCOMKER,2025,11.596
REGION1,DEMCOMKER,2026,11.7677
REGION1,DEMCOMKER,2027,11.9495
REGION1,DEMCOMKER,2028,12.1515
REGION1,DEMCOMKER,2029,12.3535
REGION1,DEMCOMKER,2030,12.5354
REGION1,DEMCOMKER,2031,12.697
REGION1,DEMCOMKER,2032,12.8586
REGION1,DEMCOMKER,2033,13.0
REGION1,DEMCOMKER,2034,13.1515
REGION1,DEMCOMKER,2035,13.2929
REGION1,DEMCOMKER,2036,13.4242
REGION1,DEMCOMKER,2037,13.5354
REGION1,DEMCOMKER,2038,13.6465
REGION1,DEMCOMKER,2039,13.7374
REGION1,DEMCOMKER,2040,13.8384
REGION1,DEMCOMKER,2041,14.3394
REGION1,DEMCOMKER,2042,14.5293
REGION1,DEMCOMKER,2043,14.7202
REGION1,DEMCOMKER,2044,14.9101
REGION1,DEMCOMKER,2045,15.1
REGION1,DEMCOMKER,2046,15.2899
REGION1,DEMCOMKER,2047,15.4798
REGION1,DEMCOMKER,2048,15.6697
REGION1,DEMCOMKER,2049,15.8596
REGION1,DEMCOMKER,2050,16.0505
REGION1,DEMCOMNGS,2020,84.899
REGION1,DEMCOMNGS,2021,84.9495
REGION1,DEMCOMNGS,2022,84.8889
REGION1,DEMCOMNGS,2023,84.9596
REGION1,DEMCOMNGS,2024,85.4848
REGION1,DEMCOMNGS,2025,86.5253
REGION1,DEMCOMNGS,2026,83.0606
REGION1,DEMCOMNGS,2027,79.6061
REGION1,DEMCOMNGS,2028,76.1414
REGION1,DEMCOMNGS,2029,72.6768
REGION1,DEMCOMNGS,2030,69.2222
REGION1,DEMCOMNGS,2031,65.7576
REGION1,DEMCOMNGS,2032,62.303
REGION1,DEMCOMNGS,2033,58.8384
