REGION,EMISSION,YEAR,VALUE
REGION1,CO2,2021,999
REGION1,CO2,2022,999
REGION1,CO2,2023,999
REGION1,CO2,2024,999
REGION1,CO2,2025,999
REGION1,CO2,2026,999
REGION1,CO2,2027,999
REGION1,CO2,2028,999
REGION1,CO2,2029,999
REGION1,CO2,2030,40.0
REGION1,CO2,2031,38.5
REGION1,CO2,2032,37.0
REGION1,CO2,2033,35.5
REGION1,CO2,2034,34.0
REGION1,CO2,2035,32.5
REGION1,CO2,2036,31.0
REGION1,CO2,2037,29.5
REGION1,CO2,2038,28.0
REGION1,CO2,2039,26.5
REGION1,CO2,2040,25.0
REGION1,CO2,2041,22.5
REGION1,CO2,2042,20.0
REGION1,CO2,2043,17.5
REGION1,CO2,2044,15.0
REGION1,CO2,2045,12.5
REGION1,CO2,2046,10.0
REGION1,CO2,2047,7.5
REGION1,CO2,2048,5.0
REGION1,CO2,2049,2.5
REGION1,CO2,2050,0.0
