r,t,m,y,TotalAnnualTechnologyActivityByMode
REGION1,DEMINDDSL,1,2048,116.702
REGION1,DEMINDDSL,1,2049,117.001
REGION1,DEMINDDSL,1,2050,117.3
REGION1,DEMINDELCB02,1,2020,101.14
REGION1,DEMINDELCB02,1,2021,101.4
REGION1,DEMINDELCB02,1,2022,101.77
REGION1,DEMINDELCB02,1,2023,102.35
REGION1,DEMINDELCB02,1,2024,104.08
REGION1,DEMINDELCB02,1,2025,106.19
REGION1,DEMINDELCB02,1,2026,109.61
REGION1,DEMINDELCB02,1,2027,109.57
REGION1,DEMINDELCB02,1,2028,109.11
REGION1,DEMINDELCB02,1,2029,108.5
REGION1,DEMINDELCB02,1,2030,109.62
REGION1,DEMINDELCB02,1,2031,111.38
REGION1,DEMINDELCB02,1,2032,112.96
REGION1,DEMINDELCB02,1,2033,112.41
REGION1,DEMINDELCB02,1,2034,111.31
REGION1,DEMINDELCB02,1,2035,110.38
REGION1,DEMINDELCB02,1,2036,109.55
REGION1,DEMINDELCB02,1,2037,108.83
REGION1,DEMINDELCB02,1,2038,108.34
REGION1,DEMINDELCB02,1,2039,107.86
REGION1,DEMINDELCB02,1,2040,107.38
REGION1,DEMINDELCB02,1,2041,107.38
REGION1,DEMINDELCB02,1,2042,106.943
REGION1,DEMINDELCB02,1,2043,106.507
REGION1,DEMINDELCB02,1,2044,106.07
REGION1,DEMINDELCB02,1,2045,105.633
REGION1,DEMINDELCB02,1,2046,105.196
REGION1,DEMINDELCB02,1,2047,104.759
REGION1,DEMINDELCB02,1,2048,104.322
REGION1,DEMINDELCB02,1,2049,103.885
REGION1,DEMINDELCB02,1,2050,103.448
REGION1,DEMINDNGS,1,2020,224.86
REGION1,DEMINDNGS,1,2021,219.32
REGION1,DEMINDNGS,1,2022,213.92
REGION1,DEMINDNGS,1,2023,211.63
REGION1,DEMINDNGS,1,2024,221.34
REGION1,DEMINDNGS,1,2025,242.83
REGION1,DEMINDNGS,1,2026,275.13
REGION1,DEMINDNGS,1,2027,283.17
REGION1,DEMINDNGS,1,2028,284.61
REGION1,DEMINDNGS,1,2029,286.56
REGION1,DEMINDNGS,1,2030,304.7
REGION1,DEMINDNGS,1,2031,330.46
REGION1,DEMINDNGS,1,2032,346.53
REGION1,DEMINDNGS,1,2033,345.33
REGION1,DEMINDNGS,1,2034,344.45
REGION1,DEMINDNGS,1,2035,344.61
REGION1,DEMINDNGS,1,2036,344.59
REGION1,DEMINDNGS,1,2037,344.24
REGION1,DEMINDNGS,1,2038,344.23
REGION1,DEMINDNGS,1,2039,344.49
REGION1,DEMINDNGS,1,2040,344.82
REGION1,DEMINDNGS,1,2041,368.255
REGION1,DEMINDNGS,1,2042,373.721
REGION1,DEMINDNGS,1,2043,379.187
REGION1,DEMINDNGS,1,2044,384.653
REGION1,DEMINDNGS,1,2045,390.119
REGION1,DEMINDNGS,1,2046,395.585
REGION1,DEMINDNGS,1,2047,401.051
REGION1,DEMINDNGS,1,2048,406.517
REGION1,DEMINDNGS,1,2049,411.983
REGION1,DEMINDNGS,1,2050,417.449
REGION1,DEMPUBSURBC1,1,2020,0.85
REGION1,DEMPUBSURBC1,1,2021,0.86
REGION1,DEMPUBSURBC1,1,2022,0.86
REGION1,DEMPUBSURBC1,1,2023,0.87
REGION1,DEMPUBSURBC1,1,2024,0.88
REGION1,DEMPUBSURBC1,1,2025,0.89
REGION1,DEMPUBSURBC1,1,2026,0.9
REGION1,DEMPUBSURBC1,1,2027,0.91
REGION1,DEMPUBSURBC1,1,2028,0.92
REGION1,DEMPUBSURBC1,1,2029,0.93
REGION1,DEMPUBSURBC1,1,2030,0.94
REGION1,DEMPUBSURBC1,1,2031,0.95
REGION1,DEMPUBSURBC1,1,2032,0.96
REGION1,DEMPUBSURBC1,1,2033,0.98
REGION1,DEMPUBSURBC1,1,2034,0.99
REGION1,DEMPUBSURBC1,1,2035,1.0
REGION1,DEMPUBSURBC1,1,2036,1.01
REGION1,DEMPUBSURBC1,1,2037,1.02
REGION1,DEMPUBSURBC1,1,2038,1.03
REGION1,DEMPUBSURBC1,1,2039,1.04
REGION1,DEMPUBSURBC1,1,2040,1.05
REGION1,DEMPUBSURBC1,1,2041,1.06
REGION1,DEMPUBSURBC1,1,2042,1.08
REGION1,DEMPUBSURBC1,1,2043,1.09
REGION1,DEMPUBSURBC1,1,2044,1.1
REGION1,DEMPUBSURBC1,1,2045,1.11
REGION1,DEMPUBSURBC1,1,2046,1.12
REGION1,DEMPUBSURBC1,1,2047,1.14
REGION1,DEMPUBSURBC1,1,2048,1.15
REGION1,DEMPUBSURBC1,1,2049,1.16
REGION1,DEMPUBSURBC1,1,2050,1.17
REGION1,DEMPWRBIO,1,2020,36.8995
