r,t,y,AnnualFixedOperatingCost
REGION1,PWRBIOB01,2020,6.286
REGION1,PWRBIOB01,2021,6.286
REGION1,PWRBIOB01,2022,6.286
REGION1,PWRBIOB01,2023,6.286
REGION1,PWRBIOB01,2024,6.286
REGION1,PWRBIOB01,2025,6.286
REGION1,PWRBIOB02,2020,22.6296
REGION1,PWRBIOB02,2021,22.6296
REGION1,PWRBIOB02,2022,22.6296
REGION1,PWRBIOB02,2023,22.6296
REGION1,PWRBIOB02,2024,22.6296
REGION1,PWRBIOB02,2025,22.6296
REGION1,PWRBIOB03,2020,7.5432
REGION1,PWRBIOB03,2021,7.5432
REGION1,PWRBIOB03,2022,7.5432
REGION1,PWRBIOB03,2023,7.5432
REGION1,PWRBIOB03,2024,7.5432
REGION1,PWRBIOB03,2025,7.5432
REGION1,PWRBIOB04,2020,33.9444
REGION1,PWRBIOB04,2021,33.9444
REGION1,PWRBIOB04,2022,33.9444
REGION1,PWRBIOB04,2023,33.9444
REGION1,PWRBIOB04,2024,33.9444
REGION1,PWRBIOB04,2025,33.9444
REGION1,PWRBIOB05,2020,20.1152
REGION1,PWRBIOB05,2021,20.1152
REGION1,PWRBIOB05,2022,20.1152
REGION1,PWRBIOB05,2023,20.1152
REGION1,PWRBIOB05,2024,20.1152
REGION1,PWRBIOB05,2025,20.1152
REGION1,PWRGEOB01,2025,51.4176
REGION1,PWRGEOB01,2026,51.4176
REGION1,PWRGEOB01,2027,51.4176
REGION1,PWRGEOB01,2028,51.4176
REGION1,PWRGEOB01,2029,51.4176
REGION1,PWRGEOB01,2030,51.4176
REGION1,PWRGEOB01,2031,51.4176
REGION1,PWRGEOB01,2032,51.4176
REGION1,PWRGEOB01,2033,51.4176
REGION1,PWRGEOB01,2034,51.4176
REGION1,PWRGEOB01,2035,51.4176
REGION1,PWRGEOB01,2036,51.4176
REGION1,PWRGEOB01,2037,51.4176
REGION1,PWRGEOB01,2038,51.4176
REGION1,PWRGEOB01,2039,51.4176
REGION1,PWRGEOB01,2040,51.4176
REGION1,PWRGEOB01,2041,51.4176
REGION1,PWRGEOB01,2042,51.4176
REGION1,PWRGEOB01,2043,51.4176
REGION1,PWRGEOB01,2044,51.4176
REGION1,PWRGEOB01,2045,51.4176
REGION1,PWRGEOB01,2046,51.4176
REGION1,PWRGEOB01,2047,51.4176
REGION1,PWRGEOB01,2048,51.4176
REGION1,PWRGEOB01,2049,51.4176
REGION1,PWRGEOB01,2050,51.4176
REGION1,PWRGEOB02,2025,334.2144
REGION1,PWRGEOB02,2026,334.2144
REGION1,PWRGEOB02,2027,334.2144
REGION1,PWRGEOB02,2028,334.2144
REGION1,PWRGEOB02,2029,334.2144
REGION1,PWRGEOB02,2030,334.2144
REGION1,PWRGEOB02,2031,334.2144
REGION1,PWRGEOB02,2032,334.2144
REGION1,PWRGEOB02,2033,334.2144
REGION1,PWRGEOB02,2034,334.2144
REGION1,PWRGEOB02,2035,334.2144
REGION1,PWRGEOB02,2036,334.2144
REGION1,PWRGEOB02,2037,334.2144
REGION1,PWRGEOB02,2038,334.2144
REGION1,PWRGEOB02,2039,334.2144
REGION1,PWRGEOB02,2040,334.2144
REGION1,PWRGEOB02,2041,334.2144
REGION1,PWRGEOB02,2042,334.2144
REGION1,PWRGEOB02,2043,334.2144
REGION1,PWRGEOB02,2044,334.2144
REGION1,PWRGEOB02,2045,334.2144
REGION1,PWRGEOB02,2046,334.2144
REGION1,PWRGEOB02,2047,334.2144
REGION1,PWRGEOB02,2048,334.2144
REGION1,PWRGEOB02,2049,334.2144
REGION1,PWRGEOB02,2050,334.2144
REGION1,PWRGEOB03,2035,118.2737
REGION1,PWRGEOB03,2036,334.2144
REGION1,PWRGEOB03,2037,334.2144
REGION1,PWRGEOB03,2038,334.2144
REGION1,PWRGEOB03,2039,334.2144
REGION1,PWRGEOB03,2040,334.2144
REGION1,PWRGEOB03,2041,334.2144
REGION1,PWRGEOB03,2042,334.2144
REGION1,PWRGEOB03,2043,334.2144
REGION1,PWRGEOB03,2044,334.2144
REGION1,PWRGEOB03,2045,334.2144
REGION1,PWRGEOB03,2046,334.2144
REGION1,PWRGEOB03,2047,334.2144
REGION1,PWRGEOB03,2048,334.2144
REGION1,PWRGEOB03,2049,334.2144
REGION1,PWRGEOB03,2050,334.2144
REGION1,PWRHYDB01,2020,81.5178
REGION1,PWRHYDB01,2021,81.5178
REGION1,PWRHYDB01,2022,81.5178
REGION1,PWRHYDB01,2023,81.5178
REGION1,PWRHYDB01,2024,81.5178
REGION1,PWRHYDB01,2025,81.5178
REGION1,PWRHYDB01,2026,81.5178
REGION1,PWRHYDB01,2027,81.5178
REGION1,PWRHYDB01,2028,81.5178
REGION1,PWRHYDB01,2029,81.5178
REGION1,PWRHYDB01,2030,81.5178
REGION1,PWRHYDB01,2031,81.5178
REGION1,PWRHYDB01,2032,81.5178
REGION1,PWRHYDB01,2033,81.5178
