r,t,m,y,TotalAnnualTechnologyActivityByMode
REGION1,DEMCOMKER,1,2045,2.3
REGION1,DEMCOMKER,1,2046,1.84
REGION1,DEMCOMKER,1,2047,1.38
REGION1,DEMCOMKER,1,2048,0.92
REGION1,DEMCOMKER,1,2049,0.46
REGION1,DEMCOMNGS,1,2020,84.05
REGION1,DEMCOMNGS,1,2021,84.1
REGION1,DEMCOMNGS,1,2022,84.04
REGION1,DEMCOMNGS,1,2023,84.11
REGION1,DEMCOMNGS,1,2024,84.63
REGION1,DEMCOMNGS,1,2025,85.66
REGION1,DEMCOMNGS,1,2026,82.23
REGION1,DEMCOMNGS,1,2027,78.81
REGION1,DEMCOMNGS,1,2028,75.38
REGION1,DEMCOMNGS,1,2029,71.95
REGION1,DEMCOMNGS,1,2030,68.53
REGION1,DEMCOMNGS,1,2031,65.1
REGION1,DEMCOMNGS,1,2032,61.68
REGION1,DEMCOMNGS,1,2033,58.25
REGION1,DEMCOMNGS,1,2034,54.82
REGION1,DEMCOMNGS,1,2035,51.4
REGION1,DEMCOMNGS,1,2036,47.97
REGION1,DEMCOMNGS,1,2037,44.54
REGION1,DEMCOMNGS,1,2038,41.12
REGION1,DEMCOMNGS,1,2039,37.69
REGION1,DEMCOMNGS,1,2040,34.26
REGION1,DEMCOMNGS,1,2041,30.84
REGION1,DEMCOMNGS,1,2042,27.41
REGION1,DEMCOMNGS,1,2043,23.98
REGION1,DEMCOMNGS,1,2044,20.56
REGION1,DEMCOMNGS,1,2045,17.13
REGION1,DEMCOMNGS,1,2046,13.71
REGION1,DEMCOMNGS,1,2047,10.28
REGION1,DEMCOMNGS,1,2048,6.85
REGION1,DEMCOMNGS,1,2049,3.43
REGION1,DEMINDDSL,1,2020,108.46
REGION1,DEMINDDSL,1,2021,108.13
REGION1,DEMINDDSL,1,2022,107.38
REGION1,DEMINDDSL,1,2023,106.95
REGION1,DEMINDDSL,1,2024,107.33
REGION1,DEMINDDSL,1,2025,108.15
REGION1,DEMINDDSL,1,2026,109.45
REGION1,DEMINDDSL,1,2027,110.63
REGION1,DEMINDDSL,1,2028,111.27
REGION1,DEMINDDSL,1,2029,111.29
REGION1,DEMINDDSL,1,2030,111.38
REGION1,DEMINDDSL,1,2031,105.81
REGION1,DEMINDDSL,1,2032,100.24
REGION1,DEMINDDSL,1,2033,94.67
REGION1,DEMINDDSL,1,2034,89.1
REGION1,DEMINDDSL,1,2035,83.54
REGION1,DEMINDDSL,1,2036,77.97
REGION1,DEMINDDSL,1,2037,72.4
REGION1,DEMINDDSL,1,2038,66.83
REGION1,DEMINDDSL,1,2039,61.26
REGION1,DEMINDDSL,1,2040,55.69
REGION1,DEMINDDSL,1,2041,50.12
REGION1,DEMINDDSL,1,2042,44.55
REGION1,DEMINDDSL,1,2043,38.98
REGION1,DEMINDDSL,1,2044,33.41
REGION1,DEMINDDSL,1,2045,27.85
REGION1,DEMINDDSL,1,2046,22.28
REGION1,DEMINDDSL,1,2047,16.71
REGION1,DEMINDDSL,1,2048,11.14
REGION1,DEMINDDSL,1,2049,5.57
REGION1,DEMINDELCB02,1,2020,261.18
REGION1,DEMINDELCB02,1,2021,262.09
REGION1,DEMINDELCB02,1,2022,262.89
REGION1,DEMINDELCB02,1,2023,264.18
REGION1,DEMINDELCB02,1,2024,277.52
REGION1,DEMINDELCB02,1,2025,279.13
REGION1,DEMINDELCB02,1,2026,282.33
REGION1,DEMINDELCB02,1,2027,282.19
REGION1,DEMINDELCB02,1,2028,281.59
REGION1,DEMINDELCB02,1,2029,280.38
REGION1,DEMINDELCB02,1,2030,280.73
REGION1,DEMINDELCB02,1,2031,313.37
REGION1,DEMINDELCB02,1,2032,345.86
REGION1,DEMINDELCB02,1,2033,378.21
REGION1,DEMINDELCB02,1,2034,410.34
REGION1,DEMINDELCB02,1,2035,442.68
REGION1,DEMINDELCB02,1,2036,474.99
REGION1,DEMINDELCB02,1,2037,507.31
REGION1,DEMINDELCB02,1,2038,539.68
REGION1,DEMINDELCB02,1,2039,572.12
REGION1,DEMINDELCB02,1,2040,604.61
REGION1,DEMINDELCB02,1,2041,637.74
REGION1,DEMINDELCB02,1,2042,670.28
REGION1,DEMINDELCB02,1,2043,702.81
REGION1,DEMINDELCB02,1,2044,735.35
REGION1,DEMINDELCB02,1,2045,767.88
REGION1,DEMINDELCB02,1,2046,800.42
REGION1,DEMINDELCB02,1,2047,832.96
REGION1,DEMINDELCB02,1,2048,865.49
REGION1,DEMINDELCB02,1,2049,898.03
REGION1,DEMINDELCB02,1,2050,793.05
REGION1,DEMINDNGS,1,2020,224.86
REGION1,DEMINDNGS,1,2021,219.32
REGION1,DEMINDNGS,1,2022,213.92
REGION1,DEMINDNGS,1,2023,211.63
REGION1,DEMINDNGS,1,2024,221.34
REGION1,DEMINDNGS,1,2025,242.83
REGION1,DEMINDNGS,1,2026,275.13
REGION1,DEMINDNGS,1,2027,283.17
REGION1,DEMINDNGS,1,2028,284.61
REGION1,DEMINDNGS,1,2029,286.56
REGION1,DEMINDNGS,1,2030,304.7
REGION1,DEMINDNGS,1,2031,289.47
REGION1,DEMINDNGS,1,2032,274.23
REGION1,DEMINDNGS,1,2033,259.0
REGION1,DEMINDNGS,1,2034,243.76
REGION1,DEMINDNGS,1,2035,228.53
REGION1,DEMINDNGS,1,2036,213.29
REGION1,DEMINDNGS,1,2037,198.06
REGION1,DEMINDNGS,1,2038,182.82
REGION1,DEMINDNGS,1,2039,167.59
REGION1,DEMINDNGS,1,2040,152.35
REGION1,DEMINDNGS,1,2041,137.12
REGION1,DEMINDNGS,1,2042,121.88
REGION1,DEMINDNGS,1,2043,106.65
REGION1,DEMINDNGS,1,2044,91.41
REGION1,DEMINDNGS,1,2045,76.18
REGION1,DEMINDNGS,1,2046,60.94
REGION1,DEMINDNGS,1,2047,45.71
REGION1,DEMINDNGS,1,2048,30.47
REGION1,DEMINDNGS,1,2049,15.24
REGION1,DEMPUBSURBC1,1,2020,0.85
REGION1,DEMPUBSURBC1,1,2021,0.86
REGION1,DEMPUBSURBC1,1,2022,0.86
REGION1,DEMPUBSURBC1,1,2023,0.87
REGION1,DEMPUBSURBC1,1,2024,0.88
REGION1,DEMPUBSURBC1,1,2025,0.89
REGION1,DEMPUBSURBC1,1,2026,0.9
REGION1,DEMPUBSURBC1,1,2027,0.91
REGION1,DEMPUBSURBC1,1,2028,0.92
REGION1,DEMPUBSURBC1,1,2029,0.93
REGION1,DEMPUBSURBC1,1,2030,0.94
REGION1,DEMPUBSURBC1,1,2031,0.95
REGION1,DEMPUBSURBC1,1,2032,0.96
REGION1,DEMPUBSURBC1,1,2033,0.98
REGION1,DEMPUBSURBC1,1,2034,0.99
REGION1,DEMPUBSURBC1,1,2035,1.0
REGION1,DEMPUBSURBC1,1,2036,1.01
REGION1,DEMPUBSURBC1,1,2037,1.02
REGION1,DEMPUBSURBC1,1,2038,1.03
REGION1,DEMPUBSURBC1,1,2039,1.04
REGION1,DEMPUBSURBC1,1,2040,1.05
REGION1,DEMPUBSURBC1,1,2041,1.06
REGION1,DEMPUBSURBC1,1,2042,1.08
REGION1,DEMPUBSURBC1,1,2043,1.09
REGION1,DEMPUBSURBC1,1,2044,1.1
REGION1,DEMPUBSURBC1,1,2045,1.11
REGION1,DEMPUBSURBC1,1,2046,1.12
REGION1,DEMPUBSURBC1,1,2047,1.14
REGION1,DEMPUBSURBC1,1,2048,1.15
REGION1,DEMPUBSURBC1,1,2049,1.16
REGION1,DEMPUBSURBC1,1,2050,1.17
REGION1,DEMPWRBIO,1,2020,36.8995
REGION1,DEMPWRBIO,1,2021,36.8995
REGION1,DEMPWRBIO,1,2022,36.8995
REGION1,DEMPWRBIO,1,2023,36.8995
REGION1,DEMPWRBIO,1,2024,36.8995
REGION1,DEMPWRBIO,1,2025,36.8995
REGION1,DEMPWRGEO,1,2025,543.5108
REGION1,DEMPWRGEO,1,2026,543.5108
REGION1,DEMPWRGEO,1,2027,543.5108
REGION1,DEMPWRGEO,1,2028,543.5108
REGION1,DEMPWRGEO,1,2029,543.5108
REGION1,DEMPWRGEO,1,2030,543.5108
REGION1,DEMPWRGEO,1,2031,543.5108
REGION1,DEMPWRGEO,1,2032,543.5108
REGION1,DEMPWRGEO,1,2033,543.5108
REGION1,DEMPWRGEO,1,2034,543.5108
REGION1,DEMPWRGEO,1,2035,710.206
REGION1,DEMPWRGEO,1,2036,1014.5534
REGION1,DEMPWRGEO,1,2037,1014.5534
REGION1,DEMPWRGEO,1,2038,1014.5534
REGION1,DEMPWRGEO,1,2039,1014.5534
REGION1,DEMPWRGEO,1,2040,1014.5534
REGION1,DEMPWRGEO,1,2041,1014.5534
REGION1,DEMPWRGEO,1,2042,1014.5534
REGION1,DEMPWRGEO,1,2043,1014.5534
REGION1,DEMPWRGEO,1,2044,1014.5534
REGION1,DEMPWRGEO,1,2045,1014.5534
REGION1,DEMPWRGEO,1,2046,1014.5534
REGION1,DEMPWRGEO,1,2047,1014.5534
REGION1,DEMPWRGEO,1,2048,1014.5534
REGION1,DEMPWRGEO,1,2049,1014.5534
REGION1,DEMPWRGEO,1,2050,800.9942
REGION1,DEMPWRHYD,1,2020,240.933
REGION1,DEMPWRHYD,1,2021,240.933
REGION1,DEMPWRHYD,1,2022,240.933
REGION1,DEMPWRHYD,1,2023,240.933
REGION1,DEMPWRHYD,1,2024,240.933
REGION1,DEMPWRHYD,1,2025,258.1044
REGION1,DEMPWRHYD,1,2026,258.1044
REGION1,DEMPWRHYD,1,2027,258.1044
REGION1,DEMPWRHYD,1,2028,258.1044
REGION1,DEMPWRHYD,1,2029,258.1044
REGION1,DEMPWRHYD,1,2030,258.1044
REGION1,DEMPWRHYD,1,2031,258.1044
REGION1,DEMPWRHYD,1,2032,258.1044
REGION1,DEMPWRHYD,1,2033,258.1044
REGION1,DEMPWRHYD,1,2034,258.1044
REGION1,DEMPWRHYD,1,2035,258.1044
REGION1,DEMPWRHYD,1,2036,258.1044
REGION1,DEMPWRHYD,1,2037,258.1044
REGION1,DEMPWRHYD,1,2038,285.9332
REGION1,DEMPWRHYD,1,2039,324.7574
REGION1,DEMPWRHYD,1,2040,361.1177
REGION1,DEMPWRHYD,1,2041,397.9232
REGION1,DEMPWRHYD,1,2042,428.2569
REGION1,DEMPWRHYD,1,2043,428.2569
REGION1,DEMPWRHYD,1,2044,428.2569
REGION1,DEMPWRHYD,1,2045,428.2569
REGION1,DEMPWRHYD,1,2046,428.2569
REGION1,DEMPWRHYD,1,2047,428.2569
REGION1,DEMPWRHYD,1,2048,428.2569
REGION1,DEMPWRHYD,1,2049,428.2569
REGION1,DEMPWRHYD,1,2050,428.2569
REGION1,DEMPWRNGS,1,2020,417.4931
REGION1,DEMPWRNGS,1,2021,430.2004
REGION1,DEMPWRNGS,1,2022,441.9187
REGION1,DEMPWRNGS,1,2023,455.3452
REGION1,DEMPWRNGS,1,2024,425.2236
REGION1,DEMPWRNGS,1,2025,182.3574
REGION1,DEMPWRNGS,1,2026,0.1524
REGION1,DEMPWRNGS,1,2034,0.6415
REGION1,DEMPWRNGS,1,2035,4.7149
REGION1,DEMPWRNGS,1,2036,8.3954
REGION1,DEMPWRNGS,1,2037,12.2996
REGION1,DEMPWRNGS,1,2038,7.801
REGION1,DEMPWRNGS,1,2039,0.2169
REGION1,DEMPWRNGS,1,2043,5.581
REGION1,DEMPWRNGS,1,2044,70.6775
REGION1,DEMPWRNGS,1,2045,149.7148
REGION1,DEMPWRNGS,1,2046,228.3443
REGION1,DEMPWRNGS,1,2047,306.9376
REGION1,DEMPWRNGS,1,2048,385.5309
REGION1,DEMPWRNGS,1,2049,464.1605
REGION1,DEMPWRSOL,1,2020,0.0157
REGION1,DEMPWRSOL,1,2021,0.0157
REGION1,DEMPWRSOL,1,2022,0.0157
REGION1,DEMPWRSOL,1,2023,0.0157
REGION1,DEMPWRSOL,1,2024,0.0157
REGION1,DEMPWRSOL,1,2025,0.0157
REGION1,DEMPWRSOL,1,2026,389.6005
REGION1,DEMPWRSOL,1,2027,389.6005
REGION1,DEMPWRSOL,1,2028,389.6005
REGION1,DEMPWRSOL,1,2029,389.6005
REGION1,DEMPWRSOL,1,2030,389.6005
REGION1,DEMPWRSOL,1,2031,389.6005
REGION1,DEMPWRSOL,1,2032,389.6005
REGION1,DEMPWRSOL,1,2033,389.6005
REGION1,DEMPWRSOL,1,2034,389.6005
REGION1,DEMPWRSOL,1,2035,389.6005
REGION1,DEMPWRSOL,1,2036,391.8606
REGION1,DEMPWRSOL,1,2037,527.5666
REGION1,DEMPWRSOL,1,2038,609.934
REGION1,DEMPWRSOL,1,2039,668.9738
REGION1,DEMPWRSOL,1,2040,722.9329
REGION1,DEMPWRSOL,1,2041,777.7041
REGION1,DEMPWRSOL,1,2042,822.2365
REGION1,DEMPWRSOL,1,2043,822.2365
REGION1,DEMPWRSOL,1,2044,866.4571
REGION1,DEMPWRSOL,1,2045,920.8682
REGION1,DEMPWRSOL,1,2046,975.0396
REGION1,DEMPWRSOL,1,2047,1029.1861
REGION1,DEMPWRSOL,1,2048,1083.3326
REGION1,DEMPWRSOL,1,2049,1137.5041
REGION1,DEMPWRSOL,1,2050,1396.1591
REGION1,DEMPWRSURBC1,1,2020,3.8868
REGION1,DEMPWRSURBC1,1,2021,3.9936
REGION1,DEMPWRSURBC1,1,2022,4.0922
REGION1,DEMPWRSURBC1,1,2023,4.205
REGION1,DEMPWRSURBC1,1,2024,5.057
REGION1,DEMPWRSURBC1,1,2025,3.1862
REGION1,DEMPWRSURBC1,1,2026,1.2776
REGION1,DEMPWRSURBC1,1,2027,1.7358
REGION1,DEMPWRSURBC1,1,2028,2.1734
REGION1,DEMPWRSURBC1,1,2029,2.5829
REGION1,DEMPWRSURBC1,1,2030,3.0562
REGION1,DEMPWRSURBC1,1,2031,4.8843
REGION1,DEMPWRSURBC1,1,2032,6.7066
REGION1,DEMPWRSURBC1,1,2033,8.5187
REGION1,DEMPWRSURBC1,1,2034,10.3177
REGION1,DEMPWRSURBC1,1,2035,11.2385
REGION1,DEMPWRSURBC1,1,2036,11.3653
REGION1,DEMPWRSURBC1,1,2037,11.3981
REGION1,DEMPWRSURBC1,1,2038,11.3603
REGION1,DEMPWRSURBC1,1,2039,11.2966
REGION1,DEMPWRSURBC1,1,2040,11.2947
REGION1,DEMPWRSURBC1,1,2041,11.2947
REGION1,DEMPWRSURBC1,1,2042,11.2947
REGION1,DEMPWRSURBC1,1,2043,11.3416
REGION1,DEMPWRSURBC1,1,2044,11.8889
REGION1,DEMPWRSURBC1,1,2045,12.5534
REGION1,DEMPWRSURBC1,1,2046,13.2145
REGION1,DEMPWRSURBC1,1,2047,13.8753
REGION1,DEMPWRSURBC1,1,2048,14.536
REGION1,DEMPWRSURBC1,1,2049,15.1971
REGION1,DEMPWRSURBC1,1,2050,8.3582
REGION1,DEMPWRURN,1,2024,87.7142
REGION1,DEMPWRURN,1,2025,87.7142
REGION1,DEMPWRURN,1,2026,87.7142
REGION1,DEMPWRURN,1,2027,124.1805
REGION1,DEMPWRURN,1,2028,158.9124
REGION1,DEMPWRURN,1,2029,191.4132
REGION1,DEMPWRURN,1,2030,228.9756
REGION1,DEMPWRURN,1,2031,374.0637
REGION1,DEMPWRURN,1,2032,518.6856
REGION1,DEMPWRURN,1,2033,662.5083
REGION1,DEMPWRURN,1,2034,804.8524
REGION1,DEMPWRURN,1,2035,871.0559
REGION1,DEMPWRURN,1,2036,871.0559
REGION1,DEMPWRURN,1,2037,871.0559
REGION1,DEMPWRURN,1,2038,871.0559
REGION1,DEMPWRURN,1,2039,871.0559
REGION1,DEMPWRURN,1,2040,871.0559
REGION1,DEMPWRURN,1,2041,871.0559
REGION1,DEMPWRURN,1,2042,871.0559
REGION1,DEMPWRURN,1,2043,871.0559
REGION1,DEMPWRURN,1,2044,871.0559
REGION1,DEMPWRURN,1,2045,871.0559
REGION1,DEMPWRURN,1,2046,871.0559
REGION1,DEMPWRURN,1,2047,871.0559
REGION1,DEMPWRURN,1,2048,871.0559
REGION1,DEMPWRURN,1,2049,871.0559
REGION1,DEMPWRURN,1,2050,643.3344
REGION1,DEMPWRWND,1,2020,230.3478
REGION1,DEMPWRWND,1,2021,230.3478
REGION1,DEMPWRWND,1,2022,230.3478
REGION1,DEMPWRWND,1,2023,230.3478
REGION1,DEMPWRWND,1,2024,230.3478
REGION1,DEMPWRWND,1,2025,230.3478
REGION1,DEMPWRWND,1,2026,230.3478
REGION1,DEMPWRWND,1,2027,230.3478
REGION1,DEMPWRWND,1,2028,230.3478
REGION1,DEMPWRWND,1,2029,230.3478
REGION1,DEMPWRWND,1,2030,230.3478
REGION1,DEMPWRWND,1,2031,230.3478
REGION1,DEMPWRWND,1,2032,230.3478
REGION1,DEMPWRWND,1,2033,230.3478
REGION1,DEMPWRWND,1,2034,230.3478
REGION1,DEMPWRWND,1,2035,228.0368
REGION1,DEMPWRWND,1,2036,228.0368
REGION1,DEMPWRWND,1,2037,223.6749
REGION1,DEMPWRWND,1,2038,218.0469
REGION1,DEMPWRWND,1,2039,214.3002
REGION1,DEMPWRWND,1,2040,214.3002
REGION1,DEMPWRWND,1,2041,214.3002
REGION1,DEMPWRWND,1,2042,241.6933
REGION1,DEMPWRWND,1,2043,395.0077
REGION1,DEMPWRWND,1,2044,423.2884
REGION1,DEMPWRWND,1,2045,422.3947
REGION1,DEMPWRWND,1,2046,422.3947
REGION1,DEMPWRWND,1,2047,422.3947
REGION1,DEMPWRWND,1,2048,422.3947
REGION1,DEMPWRWND,1,2049,422.3947
REGION1,DEMPWRWND,1,2050,639.5135
REGION1,DEMRESELCB02,1,2020,74.47
REGION1,DEMRESELCB02,1,2021,76.13
REGION1,DEMRESELCB02,1,2022,77.71
REGION1,DEMRESELCB02,1,2023,79.46
REGION1,DEMRESELCB02,1,2024,81.07
REGION1,DEMRESELCB02,1,2025,82.68
REGION1,DEMRESELCB02,1,2026,98.47
REGION1,DEMRESELCB02,1,2027,99.95
REGION1,DEMRESELCB02,1,2028,101.45
REGION1,DEMRESELCB02,1,2029,102.92
REGION1,DEMRESELCB02,1,2030,104.35
REGION1,DEMRESELCB02,1,2031,105.78
REGION1,DEMRESELCB02,1,2032,107.2
REGION1,DEMRESELCB02,1,2033,108.59
REGION1,DEMRESELCB02,1,2034,109.98
REGION1,DEMRESELCB02,1,2035,111.35
REGION1,DEMRESELCB02,1,2036,112.68
REGION1,DEMRESELCB02,1,2037,113.98
REGION1,DEMRESELCB02,1,2038,115.27
REGION1,DEMRESELCB02,1,2039,116.52
REGION1,DEMRESELCB02,1,2040,117.78
REGION1,DEMRESELCB02,1,2041,119.0
REGION1,DEMRESELCB02,1,2042,120.36
REGION1,DEMRESELCB02,1,2043,121.72
REGION1,DEMRESELCB02,1,2044,123.08
REGION1,DEMRESELCB02,1,2045,124.44
REGION1,DEMRESELCB02,1,2046,125.8
REGION1,DEMRESELCB02,1,2047,127.16
REGION1,DEMRESELCB02,1,2048,128.52
REGION1,DEMRESELCB02,1,2049,129.88
REGION1,DEMRESELCB02,1,2050,131.25
REGION1,DEMRESKER,1,2020,0.84
REGION1,DEMRESKER,1,2021,0.85
REGION1,DEMRESKER,1,2022,0.86
REGION1,DEMRESKER,1,2023,0.87
REGION1,DEMRESKER,1,2024,0.87
REGION1,DEMRESKER,1,2025,0.87
REGION1,DEMRESKER,1,2026,0.88
REGION1,DEMRESKER,1,2027,0.88
REGION1,DEMRESKER,1,2028,0.88
REGION1,DEMRESKER,1,2029,0.88
REGION1,DEMRESKER,1,2030,0.88
REGION1,DEMRESKER,1,2031,0.88
REGION1,DEMRESKER,1,2032,0.88
REGION1,DEMRESKER,1,2033,0.88
REGION1,DEMRESKER,1,2034,0.88
REGION1,DEMRESKER,1,2035,0.88
REGION1,DEMRESKER,1,2036,0.88
REGION1,DEMRESKER,1,2037,0.87
REGION1,DEMRESKER,1,2038,0.87
REGION1,DEMRESKER,1,2039,0.87
REGION1,DEMRESKER,1,2040,0.86
REGION1,DEMRESNGS,1,2020,81.96
REGION1,DEMRESNGS,1,2021,83.29
REGION1,DEMRESNGS,1,2022,84.55
REGION1,DEMRESNGS,1,2023,86.07
REGION1,DEMRESNGS,1,2024,87.65
REGION1,DEMRESNGS,1,2025,89.07
REGION1,DEMRESNGS,1,2026,85.51
REGION1,DEMRESNGS,1,2027,81.94
REGION1,DEMRESNGS,1,2028,78.38
REGION1,DEMRESNGS,1,2029,74.82
REGION1,DEMRESNGS,1,2030,71.26
REGION1,DEMRESNGS,1,2031,67.69
REGION1,DEMRESNGS,1,2032,64.13
REGION1,DEMRESNGS,1,2033,60.57
REGION1,DEMRESNGS,1,2034,57.0
