REGION,TECHNOLOGY,FUEL,MODE_OF_OPERATION,YEAR,VALUE
REGION1,DEMINDDSL,DSL,1,2021,1
REGION1,DEMINDDSL,DSL,1,2022,1
REGION1,DEMINDDSL,DSL,1,2023,1
REGION1,DEMINDDSL,DSL,1,2024,1
REGION1,DEMINDDSL,DSL,1,2025,1
REGION1,DEMINDDSL,DSL,1,2026,1
REGION1,DEMINDBIO,BIO,1,2021,1
REGION1,DEMINDBIO,BIO,1,2022,1
REGION1,DEMINDBIO,BIO,1,2023,1
REGION1,DEMINDBIO,BIO,1,2024,1
REGION1,DEMINDBIO,BIO,1,2025,1
REGION1,DEMINDBIO,BIO,1,2026,1
REGION1,DEMINDNGS,NGS,1,2021,1
REGION1,DEMINDNGS,NGS,1,2022,1
REGION1,DEMINDNGS,NGS,1,2023,1
REGION1,DEMINDNGS,NGS,1,2024,1
REGION1,DEMINDNGS,NGS,1,2025,1
REGION1,DEMINDNGS,NGS,1,2026,1
REGION1,DEMINDELCB02,ELCB02,1,2021,1
REGION1,DEMINDELCB02,ELCB02,1,2022,1
REGION1,DEMINDELCB02,ELCB02,1,2023,1
REGION1,DEMINDELCB02,ELCB02,1,2024,1
REGION1,DEMINDELCB02,ELCB02,1,2025,1
REGION1,DEMINDELCB02,ELCB02,1,2026,1
REGION1,DEMINDHDG,HDG,1,2021,1
REGION1,DEMINDHDG,HDG,1,2022,1
REGION1,DEMINDHDG,HDG,1,2023,1
REGION1,DEMINDHDG,HDG,1,2024,1
REGION1,DEMINDHDG,HDG,1,2025,1
REGION1,DEMINDHDG,HDG,1,2026,1
REGION1,DEMRESBIO,BIO,1,2021,1
REGION1,DEMRESBIO,BIO,1,2022,1
REGION1,DEMRESBIO,BIO,1,2023,1
REGION1,DEMRESBIO,BIO,1,2024,1
REGION1,DEMRESBIO,BIO,1,2025,1
REGION1,DEMRESBIO,BIO,1,2026,1
REGION1,DEMRESNGS,NGS,1,2021,1
REGION1,DEMRESNGS,NGS,1,2022,1
REGION1,DEMRESNGS,NGS,1,2023,1
REGION1,DEMRESNGS,NGS,1,2024,1
REGION1,DEMRESNGS,NGS,1,2025,1
REGION1,DEMRESNGS,NGS,1,2026,1
REGION1,DEMRESELCB02,ELCB02,1,2021,1
REGION1,DEMRESELCB02,ELCB02,1,2022,1
REGION1,DEMRESELCB02,ELCB02,1,2023,1
REGION1,DEMRESELCB02,ELCB02,1,2024,1
REGION1,DEMRESELCB02,ELCB02,1,2025,1
REGION1,DEMRESELCB02,ELCB02,1,2026,1
REGION1,DEMRESRPP,RPP,1,2021,1
REGION1,DEMRESRPP,RPP,1,2022,1
REGION1,DEMRESRPP,RPP,1,2023,1
REGION1,DEMRESRPP,RPP,1,2024,1
REGION1,DEMRESRPP,RPP,1,2025,1
REGION1,DEMRESRPP,RPP,1,2026,1
REGION1,DEMRESHDG,HDG,1,2021,1
REGION1,DEMRESHDG,HDG,1,2022,1
REGION1,DEMRESHDG,HDG,1,2023,1
REGION1,DEMRESHDG,HDG,1,2024,1
REGION1,DEMRESHDG,HDG,1,2025,1
REGION1,DEMRESHDG,HDG,1,2026,1
REGION1,DEMCOMBIO,BIO,1,2021,1
REGION1,DEMCOMBIO,BIO,1,2022,1
REGION1,DEMCOMBIO,BIO,1,2023,1
REGION1,DEMCOMBIO,BIO,1,2024,1
REGION1,DEMCOMBIO,BIO,1,2025,1
REGION1,DEMCOMBIO,BIO,1,2026,1
REGION1,DEMCOMNGS,NGS,1,2021,1
