DAYTYPE,DAYSCRO,VALUE
1,1,0
1,2,1
1,3,1
1,4,0
1,5,1
1,6,1
1,7,1
1,8,0
1,9,1
1,10,1
1,11,1
1,12,1
1,13,1
1,14,1
1,15,1
1,16,1
1,17,1
1,18,1
1,19,1
1,20,1
1,21,0
1,22,0
1,23,0
1,24,0
1,25,0
1,26,0
1,27,0
1,28,0
1,29,1
1,30,0
1,31,0
1,32,0
1,33,0
1,34,0
1,35,0
1,36,0
1,37,0
1,38,0
1,39,0
1,40,0
1,41,0
1,42,0
1,43,0
1,44,0
1,45,0
1,46,0
1,47,0
1,48,0
1,49,1
1,50,1
1,51,1
1,52,1
1,53,1
1,54,1
1,55,1
1,56,1
1,57,0
1,58,1
1,59,1
1,60,1
1,61,1
1,62,1
1,63,0
1,64,0
1,65,1
1,66,0
1,67,0
1,68,0
1,69,0
1,70,1
1,71,1
1,72,0
1,73,0
1,74,1
1,75,1
1,76,0
1,77,0
1,78,1
1,79,1
1,80,1
1,81,0
1,82,1
1,83,0
1,84,0
1,85,1
1,86,1
1,87,1
1,88,1
1,89,1
1,90,1
1,91,1
1,92,1
1,93,0
1,94,1
1,95,1
1,96,1
1,97,0
1,98,1
1,99,1
1,100,0
1,101,0
1,102,0
1,103,1
1,104,0
1,105,0
1,106,0
1,107,0
1,108,0
1,109,0
1,110,0
1,111,1
1,112,0
1,113,0
1,114,0
1,115,0
1,116,1
1,117,0
1,118,0
1,119,1
1,120,1
1,121,1
1,122,0
1,123,0
1,124,0
1,125,0
1,126,0
1,127,1
1,128,1
1,129,0
1,130,0
1,131,0
1,132,0
1,133,0
1,134,0
1,135,1
1,136,1
1,137,0
1,138,0
1,139,0
1,140,0
1,141,0
1,142,0
1,143,0
1,144,0
1,145,0
1,146,0
1,147,0
1,148,1
1,149,1
1,150,1
1,151,1
1,152,1
1,153,0
1,154,1
1,155,1
1,156,1
1,157,0
1,158,0
1,159,0
1,160,0
1,161,1
1,162,1
1,163,0
1,164,0
1,165,0
1,166,0
1,167,1
1,168,0
1,169,0
1,170,0
1,171,0
1,172,1
1,173,1
1,174,0
1,175,1
1,176,1
1,177,0
1,178,0
1,179,0
1,180,0
1,181,0
1,182,0
1,183,0
1,184,0
1,185,0
1,186,0
1,187,0
1,188,0
1,189,0
1,190,0
1,191,0
1,192,0
1,193,0
1,194,0
1,195,1
1,196,0
1,197,0
1,198,0
1,199,0
1,200,0
1,201,0
1,202,0
1,203,1
1,204,1
1,205,1
1,206,0
1,207,0
1,208,1
1,209,0
1,210,0
1,211,0
1,212,0
1,213,0
1,214,0
1,215,0
1,216,0
1,217,0
1,218,1
1,219,1
1,220,0
1,221,1
1,222,1
1,223,1
1,224,0
1,225,1
1,226,1
1,227,1
1,228,0
1,229,0
1,230,1
1,231,0
1,232,0
1,233,0
1,234,0
1,235,0
1,236,0
1,237,0
1,238,0
1,239,1
1,240,1
1,241,1
1,242,0
1,243,0
1,244,0
1,245,0
1,246,0
1,247,0
1,248,1
1,249,1
1,250,0
1,251,0
1,252,0
1,253,0
1,254,1
1,255,1
1,256,1
1,257,1
1,258,1
1,259,0
1,260,0
1,261,0
1,262,1
1,263,1
1,264,1
1,265,1
1,266,1
1,267,1
1,268,0
1,269,0
1,270,0
1,271,1
1,272,1
1,273,1
1,274,1
1,275,1
1,276,1
1,277,0
1,278,0
1,279,0
1,280,1
1,281,1
1,282,1
1,283,1
1,284,0
1,285,1
1,286,1
1,287,1
1,288,1
1,289,0
1,290,0
1,291,0
1,292,0
1,293,0
1,294,0
1,295,0
1,296,0
1,297,0
1,298,0
1,299,0
1,300,1
1,301,1
1,302,1
1,303,0
1,304,0
1,305,0
1,306,0
1,307,0
1,308,0
1,309,0
1,310,0
1,311,1
1,312,0
1,313,0
1,314,1
1,315,0
1,316,1
1,317,1
1,318,0
1,319,0
1,320,0
1,321,1
1,322,1
1,323,1
1,324,0
1,325,1
1,326,1
1,327,0
1,328,1
1,329,1
1,330,1
1,331,1
1,332,1
1,333,1
1,334,1
1,335,1
1,336,1
1,337,1
1,338,0
1,339,0
1,340,1
1,341,1
1,342,1
1,343,1
1,344,1
1,345,1
1,346,0
1,347,0
1,348,0
1,349,0
1,350,0
1,351,1
1,352,0
1,353,0
1,354,1
1,355,1
1,356,0
1,357,0
1,358,0
1,359,0
1,360,0
1,361,1
1,362,0
1,363,1
1,364,0
